SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2018 (€);TOTAL (II) (net) (BJNET) 2018 (€);Matières premières, approvisionnements (net) (BLNET) 2018 (€);En cours de production de biens (net) (BNNET) 2018 (€);En cours de production de services (net) (BPNET) 2018 (€);Produits intermédiaires et finis (net) (BRNET) 2018 (€);Marchandises (net) (BTNET) 2018 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2018 (€);Clients et comptes rattachés (3) (net) (BXNET) 2018 (€);Autres créances (3) (net) (BZNET) 2018 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2018 (€);Valeurs mobilières de placement (net) (CDNET) 2018 (€);Disponibilités (net) (CFNET) 2018 (€);Charges constatées d'avance (3) (net) (CHNET) 2018 (€);TOTAL (III) (net) (CJNET) 2018 (€);Primes de remboursement des obligations (CM) 2018 (€);Ecarts de conversion actif (CN) 2018 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2018 (€);Capital social ou individuel (1) (DA) 2018 (€);Report à nouveau (DH) 2018 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2018 (€);TOTAL (I) (DL) 2018 (€);TOTAL(II) (DO) 2018 (€);TOTAL (III) (DR) 2018 (€);Autres emprunts obligataires (DT) 2018 (€);Emprunts obligataires convertibles (DS) 2018 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2018 (€);Emprunts et dettes financières divers (DV) 2018 (€);Avances et acomptes reçus sur commandes en cours (DW) 2018 (€);Dettes fournisseurs et comptes rattachés (DX) 2018 (€);Dettes fiscales et sociales (DY) 2018 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2018 (€);Autres dettes (EA) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2017 (€);Produits constatés d'avance (EB) 2018 (€);TOTAL (IV) (EC) 2018 (€);TOTAL GENERAL (I à V) (EE) 2018 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2018 (€);Chiffre d'affaires net (France) (FJ) 2018 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2018 (€);Chiffre d'affaires net (Total) (FL) 2018 (€);Chiffre d'affaires net (Total) (FL) 2017 (€);Subventions d'exploitation (FO) 2018 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2018 (€);Total des produits d'exploitation (2) (I) (FR) 2018 (€);Achats de marchandises (y compris droits de douane) (FS) 2018 (€);Variation de stock (marchandises) (FT) 2018 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2018 (€);Variation de stock (matières premières et approvisionnements) (FV) 2018 (€);Autres achats et charges externes (3) (6 bis) (FW) 2018 (€);Impôts, taxes et versements assimilés (FX) 2018 (€);Salaires et traitements (FY) 2018 (€);Charges sociales (10) (FZ) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2018 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2018 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2018 (€);Autres charges (12) (GE) 2018 (€);Total des charges d'exploitation (4) (II) (GF) 2018 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2018 (€);Total des produits financiers (V) (GP) 2018 (€);Intérêts et charges assimilées (GR) 2018 (€);Total des charges financières (VI) (GU) 2018 (€);Dotations financières aux amortissements et provisions (GQ) 2018 (€);Reprises sur provisions & transferts de charges (GM) 2018 (€);Total des produits exceptionnels (VII) (HD) 2018 (€);Reprises sur provisions & transferts de charges (HC) 2018 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2018 (€);Total des charges exceptionnelles (VIII) (HH) 2018 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2018 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2018 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2018 (€);Impôts sur les bénéfices (HK) 2018 (€);Clients douteux ou litigieux - Montant brut (VA) 2018 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2018 (€);Impôts sur les bénéfices - Montant brut (8E) 2018 (€);T.V.A. - Montant brut (VW) 2018 (€);Emprunts remboursés en cours d’exercice (VK) 2018 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2018 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2018 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2018 (€);Effets portés à l’escompte et non échus (YS) 2018 (€);Sous‐traitance (YT) 2018 (€);Ecarts de conversion passif (V) (ED) 2018 (€);Production stockée (FM) 2018 (€);Production immobilisée (FN) 2018 (€);(3) Dont Crédit-bail mobilier (HP) 2018 (€);(3) Dont Crédit-bail immobilier (HQ) 2018 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2018 (€);Ville;Nombre de mois de l'exercice comptable 2018;Catégorie juridique (Niveau II)
448310771;GCA CAEN;44831077100010;4511Z;;;14120;07/04/2003;De 20 à 49 salariés;0;783223;0;0;0;0;7767134;0;1351620;2360607;0;0;123750;118673;11721783;0;0;12505006;450000;0;980378;3057394;0;0;0;0;880969;41;837566;6183338;753472;495;42611;0;0;749119;9447613;12505007;1007;0;0;49407330;40188132;19186;270795;49699014;42533200;-274116;0;0;2994554;212274;1786721;739605;131329;0;59685;0;889;48184141;1514873;9451;24938;24938;0;0;8966;0;0;46735;-37769;980378;59975;421262;0;0;0;0;437074;0;0;0;0;0;0;0;0;0;0;1499385;MONDEVILLE;12;Société à responsabilité limitée (SARL)
319049276;GUASCH & FILS;31904927600078;1011Z;;;66000;01/07/1980;De 100 à 199 salariés;0;10337182;197153;0;0;0;1605636;64560;3975208;852097;0;1532;142032;99406;6937625;0;0;17274807;1073100;0;497074;4288389;0;51712;0;0;6825000;15906;0;4764736;1186150;12168;130747;0;0;0;12934706;17274807;796769;41823205;526461;42349666;40374717;53743;186218;42684465;30107382;-199657;544783;-75322;5053228;767211;3625360;1352337;665085;0;45608;0;62382;41948398;736067;4459;256480;256480;0;0;302477;0;51712;140922;161555;497074;46804;101723;0;427583;15514;0;495417;0;0;0;0;0;0;0;0;72486;0;484047;PERPIGNAN;12;Société par actions simplifiée
712015643;PRIMINTER;71201564300067;4649Z;;;92110;01/07/1982;De 20 à 49 salariés;0;21152798;0;0;0;0;5536967;52832;6378003;142476;0;0;1276053;921;13387253;0;29780;34569830;168000;-54318;1165899;2462436;0;354625;0;0;0;0;113883;6406164;760345;0;24434479;0;0;0;31714871;34569830;0;28539375;2273335;30812710;28152129;0;44721;30916210;23047939;-142289;0;0;3332216;231488;1311802;676887;12295;0;183991;269023;14124;28937477;1978733;878744;238677;1216883;37780;74253;122;122;54;204;-82;1165899;0;474614;227160;271737;0;172353;0;0;0;0;0;0;37899;0;0;0;0;1640595;CLICHY;12;Société par actions simplifiée
418877353;MONDIAL DISTRIBUTION CI.CA SARL;41887735300023;4690Z;;;69740;01/05/1998;De 10 à 19 salariés;0;365470;0;0;0;0;2544689;16754;901373;58934;0;0;1125862;32113;4679725;0;0;5045195;300000;0;255533;1838313;0;27903;0;0;228439;0;0;2537500;395213;0;17827;0;0;0;3178979;5045195;0;13100322;42868;13143190;11870179;0;63268;13207024;11395314;-341296;0;0;714308;71846;588346;216182;98052;0;73142;555;9330;12825779;381245;0;1607;1996;0;0;59096;0;784;60668;-1572;255533;0;122144;141545;95395;61771;37738;47455;0;0;0;231946;0;0;0;0;23868;0;379249;GENAS;12;Société par actions simplifiée
348535519;SART VON ROHR / SART-VON ROHR;34853551900014;2814Z;;;68620;01/01/1988;De 50 à 99 salariés;0;1093437;1905107;100119;0;703544;0;33892;2262521;318235;0;500;400434;285217;6009568;0;200;7103205;1000000;948717;192085;3497657;0;63440;0;0;1320807;150288;196861;1253076;563002;17149;38343;0;0;2581;3542108;7103205;2524;7661991;1445384;9107375;9998877;2339;466889;9602682;0;0;2624866;-136878;2571070;238549;2926600;1215546;190805;0;0;24032;15561;9670151;-67469;4801;20781;27362;0;0;339965;18697;2441;124084;215882;192085;0;-66233;0;0;0;0;0;0;0;0;0;0;0;-30651;54533;391548;295597;-90030;BITSCHWILLER-LES-THANN;12;Société par actions simplifiée
301467726;TRANSPORTS BARBE;30146772600073;4941A;;;21000;01/01/1969;De 50 à 99 salariés;0;3069652;22518;0;0;0;0;0;1258079;647338;0;0;1479381;152;3407469;0;0;6477121;600000;0;192845;1737040;0;87430;0;0;3036244;199124;0;375624;973979;67200;480;0;0;0;4652651;6477121;0;9832733;111207;9943940;9310613;15766;168970;10489595;0;0;2554657;8737;3854785;172758;2128364;597471;942674;0;0;87430;6;10346882;142712;9;12540;12540;0;0;314197;168781;235676;251532;62665;192845;0;0;29746;222508;0;297803;598220;0;0;0;0;0;0;0;0;0;0;130181;DIJON;12;Société par actions simplifiée
495216160;INTELLIGENT BUSINESS INDUSTRY TECHNOLOGY - FRANCE / IBITEK - FRANCE;49521616000046;7112B;;;13013;02/04/2007;De 20 à 49 salariés;0;631087;0;0;0;0;0;0;3602533;2060232;0;938982;1179822;12970;7794538;0;37;8425663;400000;0;333685;2866153;0;129500;0;0;161836;0;0;4050957;466638;0;14278;0;0;736301;5430010;8425663;4866;2869126;5349937;8219063;7843745;47267;2561;8268908;0;0;10692;0;6267006;73056;1027919;538063;46512;0;0;0;37106;8000354;268555;153137;26994;26994;0;1;2312;0;0;13247;-10935;333685;0;50078;0;139449;2317;223391;48512;0;0;0;0;5246908;0;0;0;0;0;394698;MARSEILLE 13;12;Société par actions simplifiée
507412831;AGK6 / PLANETE MODE;50741283100012;4771Z;Jugement d'ouverture de liquidation judiciaire;28/01/2022;69700;01/07/2008;0 salarié à la fin de l'année;0;2707657;41034;0;0;0;2379991;0;854;1635933;0;0;52543;1400;4111755;0;0;6819411;542280;0;274382;2166334;0;0;0;0;1617055;314317;0;2351534;370171;0;0;0;0;0;4653077;6819411;0;0;0;7869156;8268968;0;0;7933514;4928551;-515591;0;-8543;2123534;195573;557537;114977;123835;0;0;0;22223;7542096;391418;22654;0;51036;0;0;123243;0;0;64126;59117;274382;0;147770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;363036;GIVORS;12;Société par actions simplifiée
517672929;S.D.A.H;51767292900018;4511Z;;;59300;22/09/2009;De 10 à 19 salariés;0;196386;0;9031;0;0;1826957;0;85076;808719;0;88981;382563;1832;3203158;0;0;3399545;700000;-103888;94447;798013;0;2748;0;0;327652;0;18746;2112724;115188;0;24473;0;0;0;2598784;3399545;0;9874462;0;9874462;11715335;1000;901705;10770990;7935084;753232;1214;0;1055332;85882;496560;181415;50518;0;108342;2748;3164;10673492;97499;0;14355;14759;404;0;124304;29279;0;84071;40233;94447;0;28525;12170;42845;0;3066;5364;0;0;0;0;0;0;-11232;0;0;0;82740;VALENCIENNES;12;Société par actions simplifiée
423229442;RUEL BRUNO / CHARCUTERIE RUEL;42322944200011;1013A;;;72110;07/06/1999;De 20 à 49 salariés;0;1151702;702970;0;0;96389;0;51110;830804;313061;0;0;11648;8874;2014856;0;0;3166557;15245;0;110027;430247;0;0;0;0;1474393;0;2061;881448;377780;0;629;0;0;0;2736311;3166557;16991;7402301;544;7402845;7071989;12642;33241;7474708;0;0;4381508;-258033;1512285;60325;1181787;350030;109290;0;604;0;19831;7357627;117081;1408;13710;13710;0;0;31403;0;0;26528;4875;110027;0;-372;0;0;0;0;0;0;0;0;0;0;0;23056;0;288211;0;104780;BONNETABLE;12;Société à responsabilité limitée (SARL)
