SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2016 (€);TOTAL (II) (net) (BJNET) 2016 (€);Matières premières, approvisionnements (net) (BLNET) 2016 (€);En cours de production de biens (net) (BNNET) 2016 (€);En cours de production de services (net) (BPNET) 2016 (€);Produits intermédiaires et finis (net) (BRNET) 2016 (€);Marchandises (net) (BTNET) 2016 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2016 (€);Clients et comptes rattachés (3) (net) (BXNET) 2016 (€);Autres créances (3) (net) (BZNET) 2016 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2016 (€);Valeurs mobilières de placement (net) (CDNET) 2016 (€);Disponibilités (net) (CFNET) 2016 (€);Charges constatées d'avance (3) (net) (CHNET) 2016 (€);TOTAL (III) (net) (CJNET) 2016 (€);Primes de remboursement des obligations (CM) 2016 (€);Ecarts de conversion actif (CN) 2016 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2016 (€);Capital social ou individuel (1) (DA) 2016 (€);Report à nouveau (DH) 2016 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2016 (€);TOTAL (I) (DL) 2016 (€);TOTAL(II) (DO) 2016 (€);TOTAL (III) (DR) 2016 (€);Autres emprunts obligataires (DT) 2016 (€);Emprunts obligataires convertibles (DS) 2016 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2016 (€);Emprunts et dettes financières divers (DV) 2016 (€);Avances et acomptes reçus sur commandes en cours (DW) 2016 (€);Dettes fournisseurs et comptes rattachés (DX) 2016 (€);Dettes fiscales et sociales (DY) 2016 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2016 (€);Autres dettes (EA) 2016 (€);dont comptes courants d'associés de l'exercice N (EA2) 2016 (€);Produits constatés d'avance (EB) 2016 (€);TOTAL (IV) (EC) 2016 (€);TOTAL GENERAL (I à V) (EE) 2016 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2016 (€);Chiffre d'affaires net (France) (FJ) 2016 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2016 (€);Chiffre d'affaires net (Total) (FL) 2016 (€);Subventions d'exploitation (FO) 2016 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2016 (€);Total des produits d'exploitation (2) (I) (FR) 2016 (€);Achats de marchandises (y compris droits de douane) (FS) 2016 (€);Variation de stock (marchandises) (FT) 2016 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2016 (€);Variation de stock (matières premières et approvisionnements) (FV) 2016 (€);Autres achats et charges externes (3) (6 bis) (FW) 2016 (€);Impôts, taxes et versements assimilés (FX) 2016 (€);Salaires et traitements (FY) 2016 (€);Charges sociales (10) (FZ) 2016 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2016 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2016 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2016 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2016 (€);Autres charges (12) (GE) 2016 (€);Total des charges d'exploitation (4) (II) (GF) 2016 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2016 (€);Total des produits financiers (V) (GP) 2016 (€);Intérêts et charges assimilées (GR) 2016 (€);Total des charges financières (VI) (GU) 2016 (€);Dotations financières aux amortissements et provisions (GQ) 2016 (€);Reprises sur provisions & transferts de charges (GM) 2016 (€);Total des produits exceptionnels (VII) (HD) 2016 (€);Reprises sur provisions & transferts de charges (HC) 2016 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2016 (€);Total des charges exceptionnelles (VIII) (HH) 2016 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2016 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2016 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2016 (€);Impôts sur les bénéfices (HK) 2016 (€);Clients douteux ou litigieux - Montant brut (VA) 2016 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2016 (€);Impôts sur les bénéfices - Montant brut (8E) 2016 (€);T.V.A. - Montant brut (VW) 2016 (€);Emprunts remboursés en cours d’exercice (VK) 2016 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2016 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2016 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2016 (€);Effets portés à l’escompte et non échus (YS) 2016 (€);Sous‐traitance (YT) 2016 (€);Effectif moyen du personnel (YP) 2016;Ecarts de conversion passif (V) (ED) 2016 (€);Production stockée (FM) 2016 (€);Production immobilisée (FN) 2016 (€);(3) Dont Crédit-bail mobilier (HP) 2016 (€);(3) Dont Crédit-bail immobilier (HQ) 2016 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2016 (€);Ville;Nombre de mois de l'exercice comptable 2016;Notation NOTA-PME 2016;Catégorie juridique (Niveau II)
522568682;TS LNG;52256868200028;3320A;;;59279;03/05/2010;De 1 à 2 salariés;0;2403946;0;578620572;0;0;0;0;29799373;10671710;0;0;1920998;274245;621286898;0;0;623690844;100000;-66295107;-11260910;-77456017;0;4436680;0;0;0;46954432;571034040;69581701;3685323;0;0;0;5454686;696710182;623690844;0;0;0;0;0;0;124595652;0;0;0;0;113545369;252148;3773116;1844263;15999305;0;0;0;2935;135417136;-10821484;22685;460087;460087;0;0;5600;0;0;7625;-2025;-11260910;0;0;29799373;3685323;0;0;0;0;0;0;0;0;60;0;98322879;0;0;0;-11258886;LOON-PLAGE;12;2,9;Société par actions simplifiée
781622378;SUPERMARCHES CHARENTAIS / CENTRE LECLERC;78162237800037;4711F;;;17140;01/01/1969;De 250 à 499 salariés;0;8202546;0;0;0;0;6234208;1880;208006;3243639;0;1462121;824651;145994;12120499;0;0;20323044;77440;0;2179752;5929359;0;100000;0;0;3115811;1218263;209873;4945225;4766721;0;33562;0;4230;14293685;20323044;0;98773544;0;98773544;5650;661622;99553909;73329236;-437042;303187;0;8806419;1396455;7808934;2843114;1021387;0;380009;0;14195;95465894;4088014;39350;141837;141837;0;0;240012;183542;6821;254411;-14399;2179752;1409277;385482;10651;2071146;0;249085;0;0;0;0;0;0;328;0;0;0;0;0;3988912;LAGORD;12;;Société par actions simplifiée
349012625;SCHMITZ CARGOBULL FRANCE / SCHMITZ CARGOBULL FRANCE SARL;34901262500076;4519Z;;;38070;01/12/1988;De 20 à 49 salariés;0;4713938;0;0;0;0;10551472;0;13021443;843153;0;0;0;93029;24509097;0;0;29223035;35000;0;175673;4572322;0;803846;0;0;1198940;0;0;17246792;3193652;540777;111182;0;1555524;23846867;29223033;0;126199439;0;126199439;0;1959415;128162960;123264839;-4407440;509658;0;3859035;364385;2105413;930574;68477;0;978284;231938;17135;127922298;240662;113496;100382;100382;0;0;0;0;0;870;-870;175673;0;77234;161660;464375;0;1715293;164181;0;0;0;0;0;31;0;0;0;0;0;253776;SAINT-QUENTIN-FALLAVIER;12;;Société à responsabilité limitée (SARL)
389284662;LURE DISTRIBUTION;38928466200019;4711F;;;70200;17/10/1992;De 250 à 499 salariés;0;6850781;0;0;0;0;0;0;0;2047100;0;8794413;5207047;0;16048561;0;0;22899342;40000;0;15020155;21284069;0;0;0;0;0;13779;0;48535;989773;0;563184;0;0;1615272;22899342;0;0;0;487090;0;0;487092;0;0;0;0;24069;9563;290485;127042;0;0;0;0;4375;455535;31556;2183913;4653;4653;0;0;19540000;0;0;5682859;13857140;15020155;0;1047802;0;96999;817898;1542;0;0;0;0;0;0;0;0;0;0;0;0;2210816;LURE;12;9,2;Société par actions simplifiée
434739496;NATAIS / NATAIS - POP CORN MIDI PYRENEES;43473949600017;1061B;;;32130;01/01/2001;De 100 à 199 salariés;0;13404637;6197925;0;0;1799479;151685;5148665;2610954;2780862;0;0;1941075;1501597;22132243;0;33412;35570291;5500000;-137723;93538;7100958;0;68111;1004720;0;15383865;795392;0;8443433;862881;0;1802696;0;0;28292988;35570291;4351904;1055105;10345970;11401075;0;1403094;12063720;83800;117;5216901;2127902;2353972;179339;977161;344685;581506;0;0;0;46002;11911386;152334;93713;141806;175276;22131;49663;22767;0;0;0;22767;93538;0;0;147023;372748;0;140502;25281;0;0;0;0;0;0;108235;-991259;76822;4629;0;70771;BEZERIL;12;2,8;Société par actions simplifiée
352847248;HILD;35284724800015;2599B;;;68320;27/12/1989;De 100 à 199 salariés;0;2091562;5324932;703693;0;2515042;1244650;0;7267826;610633;0;0;218803;65602;17951180;0;0;20042742;4000000;0;1741907;9635129;0;546000;0;0;11036;349541;0;5927862;2302106;50009;1221060;0;0;9861613;20042742;0;40718276;668803;41387079;4994;752141;42900446;5418586;311366;19767030;-201112;6711892;486862;4574846;1628105;564853;0;366923;0;356363;39985711;2914734;44391;75828;75828;0;0;775538;620980;235801;903410;-127871;1741907;229956;783563;293031;933754;66858;280459;178031;0;0;0;0;0;0;0;731959;24247;332978;0;2883298;JEBSHEIM;12;5,9;Société par actions simplifiée
492791454;SPC FRANCE;49279145400019;4617A;;;59650;13/11/2006;De 6 à 9 salariés;0;42806;0;0;0;0;0;1309214;2884441;384851;0;0;1301533;232914;6112954;0;813;6156573;320000;0;132592;1201714;0;813;0;0;2132;196234;598094;2601584;145480;0;1050076;0;347792;4941395;6156573;0;29418;48154055;48183473;0;2364;48186041;47024713;0;0;0;352048;34462;401417;162741;14447;0;0;0;76;47989907;196133;126435;0;125530;813;11405;22848;0;0;30182;-7333;132592;0;57113;0;80399;0;2619;0;0;0;0;0;44533;7;12650;0;0;0;0;197039;VILLENEUVE D'ASCQ;12;4,6;Société à responsabilité limitée (SARL)
304708597;PERODIS SA / INTERMARCHE;30470859700022;4711F;;;80200;01/01/1975;De 100 à 199 salariés;0;2291609;14265;0;0;0;3080149;0;364818;1260263;0;0;3572963;30823;8323281;0;0;10614890;171505;0;915611;3947901;0;0;0;0;1618637;296609;0;3678380;1017569;269;55524;0;0;6666989;10614890;0;36889205;0;36889205;2367;79165;36975428;27879564;-29817;109737;4079;3159289;438138;2782533;836327;324776;0;52511;0;13423;35570560;1404868;7667;7380;7380;0;0;40394;0;0;96666;-56272;915611;162475;270797;5414;282546;0;22280;0;0;0;0;0;0;0;0;0;0;122483;0;1405155;PERONNE;12;6,3;Société par actions simplifiée
310775903;SEIMAR / INTERMARCHE;31077590300035;4711F;;;76190;23/02/1989;De 100 à 199 salariés;0;4184334;7348;0;0;0;2089116;0;938674;727720;0;7267;315778;190701;4276605;0;0;8460939;64000;0;212235;287957;0;0;0;0;4147797;0;0;2810423;700738;2429;11595;0;500000;8172982;8460939;0;29805609;0;29805609;0;75035;29882866;25219727;-960752;60389;-4994;2332258;278621;1709505;406092;435593;0;2842;0;14155;29493436;389430;2084;99139;99139;0;0;79043;76043;84827;124506;-45463;212235;0;34677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;292375;SAINTE-MARIE-DES-CHAMPS;12;4,7;Société par actions simplifiée
433034782;COGELEC;43303478200030;2630Z;;;85290;29/09/2000;De 100 à 199 salariés;0;9007364;2230002;1461979;0;1049019;0;16852;5449747;767029;0;1346000;1829665;80049;14230345;0;0;23237709;533883;671;1945340;5722210;950000;0;0;0;5992278;4433882;0;2971410;2007637;813815;346475;0;0;16565499;23237709;325768;23209681;1612630;24822312;5689;389976;26999621;0;0;12278456;-592952;4888770;410426;4849761;1976836;964384;0;189078;0;20549;24985310;2014311;663512;236590;238500;0;76424;55695;21865;0;238359;-182664;1945340;201939;109379;5619;706182;0;512334;735504;0;0;0;0;0;0;0;293613;1482544;90784;376440;2439323;MORTAGNE-SUR-SEVRE;12;6,4;Société anonyme à conseil d'administration
