SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2016 (€);TOTAL (II) (net) (BJNET) 2016 (€);Matières premières, approvisionnements (net) (BLNET) 2016 (€);En cours de production de biens (net) (BNNET) 2016 (€);En cours de production de services (net) (BPNET) 2016 (€);Produits intermédiaires et finis (net) (BRNET) 2016 (€);Marchandises (net) (BTNET) 2016 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2016 (€);Clients et comptes rattachés (3) (net) (BXNET) 2016 (€);Autres créances (3) (net) (BZNET) 2016 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2016 (€);Valeurs mobilières de placement (net) (CDNET) 2016 (€);Disponibilités (net) (CFNET) 2016 (€);Charges constatées d'avance (3) (net) (CHNET) 2016 (€);TOTAL (III) (net) (CJNET) 2016 (€);Primes de remboursement des obligations (CM) 2016 (€);Ecarts de conversion actif (CN) 2016 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2016 (€);Capital social ou individuel (1) (DA) 2016 (€);Report à nouveau (DH) 2016 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2016 (€);TOTAL (I) (DL) 2016 (€);TOTAL(II) (DO) 2016 (€);TOTAL (III) (DR) 2016 (€);Autres emprunts obligataires (DT) 2016 (€);Emprunts obligataires convertibles (DS) 2016 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2016 (€);Emprunts et dettes financières divers (DV) 2016 (€);Avances et acomptes reçus sur commandes en cours (DW) 2016 (€);Dettes fournisseurs et comptes rattachés (DX) 2016 (€);Dettes fiscales et sociales (DY) 2016 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2016 (€);Autres dettes (EA) 2016 (€);dont comptes courants d'associés de l'exercice N (EA2) 2016 (€);Produits constatés d'avance (EB) 2016 (€);TOTAL (IV) (EC) 2016 (€);TOTAL GENERAL (I à V) (EE) 2016 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2016 (€);Chiffre d'affaires net (France) (FJ) 2016 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2016 (€);Chiffre d'affaires net (Total) (FL) 2016 (€);Subventions d'exploitation (FO) 2016 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2016 (€);Total des produits d'exploitation (2) (I) (FR) 2016 (€);Achats de marchandises (y compris droits de douane) (FS) 2016 (€);Variation de stock (marchandises) (FT) 2016 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2016 (€);Variation de stock (matières premières et approvisionnements) (FV) 2016 (€);Autres achats et charges externes (3) (6 bis) (FW) 2016 (€);Impôts, taxes et versements assimilés (FX) 2016 (€);Salaires et traitements (FY) 2016 (€);Charges sociales (10) (FZ) 2016 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2016 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2016 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2016 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2016 (€);Autres charges (12) (GE) 2016 (€);Total des charges d'exploitation (4) (II) (GF) 2016 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2016 (€);Total des produits financiers (V) (GP) 2016 (€);Intérêts et charges assimilées (GR) 2016 (€);Total des charges financières (VI) (GU) 2016 (€);Dotations financières aux amortissements et provisions (GQ) 2016 (€);Reprises sur provisions & transferts de charges (GM) 2016 (€);Total des produits exceptionnels (VII) (HD) 2016 (€);Reprises sur provisions & transferts de charges (HC) 2016 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2016 (€);Total des charges exceptionnelles (VIII) (HH) 2016 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2016 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2016 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2016 (€);Impôts sur les bénéfices (HK) 2016 (€);Clients douteux ou litigieux - Montant brut (VA) 2016 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2016 (€);Impôts sur les bénéfices - Montant brut (8E) 2016 (€);T.V.A. - Montant brut (VW) 2016 (€);Emprunts remboursés en cours d’exercice (VK) 2016 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2016 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2016 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2016 (€);Effets portés à l’escompte et non échus (YS) 2016 (€);Sous‐traitance (YT) 2016 (€);Effectif moyen du personnel (YP) 2016;Ecarts de conversion passif (V) (ED) 2016 (€);Production stockée (FM) 2016 (€);Production immobilisée (FN) 2016 (€);(3) Dont Crédit-bail mobilier (HP) 2016 (€);(3) Dont Crédit-bail immobilier (HQ) 2016 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2016 (€);Ville;Nombre de mois de l'exercice comptable 2016;Notation NOTA-PME 2016;Catégorie juridique (Niveau II)
339946469;NEXTER MUNITIONS;33994646900071;2540Z;;;78000;27/11/1986;De 500 à 999 salariés;0;79219016;43642443;874242;0;48797690;0;28525525;71133011;117082546;0;0;75939;0;310131396;0;12545;389362957;52270980;27234782;22077158;109949294;0;56267231;0;0;4445;2127188;158858341;43876102;16163035;0;2117121;0;0;223146232;389362957;0;74829037;134830626;209659663;43374;6020104;221594610;1743;0;83423311;-10753217;60853956;5346538;25656411;12904178;6147560;81366;2481833;3772823;2155056;192071557;29523053;1209545;37211;67082;12545;303660;471826;0;91765;95003;376823;22077158;1958042;7007140;0;0;0;0;0;0;0;0;0;0;0;199;2966900;764402;0;0;30665516;VERSAILLES;12;7,3;Société anonyme à conseil d'administration
531162709;PANDORA FRANCE;53116270900020;4777Z;;;75009;25/02/2011;De 500 à 999 salariés;0;17879513;0;0;0;0;9135684;762025;16610571;464341;0;40811;1277473;0;28290905;0;0;46170417;100000;3327308;3864110;7301418;0;2126578;0;0;0;18804330;0;9273898;8553525;108541;2128;0;0;36742422;46170417;0;152419797;0;152419797;0;1747016;154305680;99384377;6448603;285871;0;21032305;1128704;9958099;4307274;1656701;0;78282;2126578;82225;146489020;7816661;46432;443986;442743;0;0;0;0;0;89406;-89406;3864110;942487;2524346;0;422819;658739;3472196;0;0;0;0;0;0;0;0;0;0;0;0;7420349;PARIS 9;12;5,6;Société par actions simplifiée
378778542;QUADIENT FRANCE;37877854200662;7739Z;;;92500;01/07/1990;De 250 à 499 salariés;0;162929121;0;0;0;0;507097;409473;53180547;32791061;0;0;1336789;4836624;93061591;0;0;255990712;10813900;85899;16599131;116639067;0;4847765;0;0;425231;1922288;4863630;29477739;29201661;2442918;1714838;0;64455575;134503879;255990712;0;190700330;0;190700330;0;16381595;207198233;51370953;615657;0;0;61916823;3429120;28772999;13360320;24037311;0;1942730;1656792;5171147;192273852;14924381;8910395;83826;2212094;2082958;0;1698438;1486000;259;346871;1351568;16599131;1997157;4377960;956576;5880246;0;14499434;228707;0;0;0;0;0;529;0;0;0;0;0;21622681;RUEIL-MALMAISON;12;;Société anonyme à conseil d'administration
398517169;VERIZON FRANCE / VERIZON BUSINESS;39851716900502;6110Z;;;92400;02/09/1994;De 200 à 249 salariés;0;80164414;0;0;0;0;0;1289648;25946999;98286660;0;0;28214340;3365112;157102759;0;1350169;238617342;45120823;43346545;6329103;105912701;0;1717170;0;0;15339306;35887;473704;17657249;16429566;0;61241701;0;2667256;113844667;238617342;0;172599702;0;172599702;0;1940092;175115267;3475266;0;0;0;91530422;3481273;28727973;12732227;13930139;0;256295;138000;14151500;168423095;6692172;20962148;1024572;23266961;1350169;1425392;4138424;4083614;474700;529632;3608792;6329103;0;1667048;6370938;5006341;0;1689823;55386;0;0;0;0;0;0;17142804;0;575474;0;0;4387359;COURBEVOIE;12;6,6;Société par actions simplifiée
315606764;CAEN DISTRIBUTION / LECLERC;31560676400019;4711F;;;14000;01/01/1979;De 250 à 499 salariés;0;22347793;37094;0;0;0;5664060;0;229270;1437346;0;1159855;4259172;171000;12957797;0;0;35305589;160000;0;1403754;6992086;0;68000;0;0;11747774;7262193;0;6343793;2701831;18972;170940;0;0;28245503;35305589;0;84185509;0;84185509;0;211516;84693588;63514882;-171754;177010;-12928;5714954;1359979;7258310;2491422;1642311;0;34203;53000;93835;82155224;2538364;217440;567946;567946;0;182617;5029;0;0;184781;-179752;1403754;163423;458206;25478;623950;0;175155;0;0;0;0;0;0;290;0;0;0;0;0;2205134;CAEN;12;5,3;Société par actions simplifiée
784131575;KNAUF CEILING SOLUTIONS SAS;78413157500127;2399Z;;;25300;01/01/1900;De 200 à 249 salariés;0;28535646;1166294;14811;0;3269734;1522800;70818;9828996;4445168;0;0;2830;101582;20423033;0;23344;48982023;18061655;-11123491;-7319199;3440811;0;2736772;0;0;26267725;0;0;9607117;4408903;0;2519779;0;0;42803524;48982023;0;0;0;69837360;62800;1147183;71694038;29741333;268135;8631327;462750;19414716;1146911;10830256;4822701;2004006;0;161209;312142;703632;78499118;-6805080;298092;796268;1138738;23344;9161;1629721;1159215;752671;1303194;326527;-7319199;0;0;0;0;0;0;0;0;0;0;0;0;0;916;636022;0;0;0;-7645726;PONTARLIER;12;2,4;Société par actions simplifiée
429213929;RADIO SYSTEMES INGENIERIE VIDEO TECHNOLOGIES;42921392900038;4652Z;;;67200;07/01/2000;De 50 à 99 salariés;0;11538044;2755211;2397680;0;1442683;0;0;19512637;5459223;0;0;1048115;234564;32850113;0;55421;44443578;2457570;7990350;8533903;29319660;0;1196031;0;0;5885;0;0;4851930;7040571;0;86509;0;141359;12126253;44443578;5885;14841216;28697860;43539075;0;4354719;48822309;213494;0;20681931;1876005;5159603;593535;4541344;2070457;694383;0;861654;310000;402372;37404778;11417531;2501490;134702;532232;55421;2175696;734778;0;108874;26959;707818;8533903;783826;4776878;429832;684685;4691617;113805;0;0;0;0;0;102629;89;1801634;922038;0;553345;0;13386789;STRASBOURG;12;7,5;Société par actions simplifiée
428210140;NEURONES IT;42821014000011;6203Z;;;92000;10/11/1999;De 250 à 499 salariés;0;31303810;0;0;0;0;82680;0;30184897;19835183;0;3500000;1033515;799597;55435872;0;0;86739682;32563401;0;2584560;61591447;0;623671;0;0;67022;4601;0;8096467;14167619;203648;857019;0;1128189;24524565;86739682;0;74684984;0;74684984;74967;651395;75425192;4931677;-58282;0;0;21064534;2112197;29524846;12994771;1582561;0;48765;171200;12689;72384958;3040234;245251;1;1;0;0;61225;0;0;28509;32716;2584560;0;733639;0;14167621;0;0;0;0;0;0;0;0;707;0;0;0;0;0;3285484;NANTERRE;12;5,9;Société par actions simplifiée
806720371;GROUPE LECOQ;80672037100079;4661Z;;;28150;01/01/1967;De 100 à 199 salariés;0;10915676;42492;0;857899;0;16238601;720056;8500249;1739249;0;0;13637;535463;28647646;0;0;39563322;2400000;0;1209642;19670659;0;1641052;0;0;6114952;920999;1552216;7857986;1484512;0;317339;0;3608;18251611;39563322;0;70616229;0;70616230;0;4648928;75921849;57968478;-619706;426012;3364;2993838;446420;5662851;2168221;362984;0;3928491;930579;137677;74409209;1512640;563819;784053;784053;0;0;666998;660640;710472;766894;-99896;1209642;0;-17133;9008459;0;0;1484512;488516;0;0;0;0;0;174;0;427285;0;2091;0;1292405;BOISVILLE-LA-SAINT-PERE;12;;Société anonyme à directoire
390461440;SOROFI;39046144000013;4674B;;;42300;26/02/1993;De 250 à 499 salariés;0;7710452;0;0;0;0;9472177;97314;7779744;3382570;0;0;907075;68841;21707721;0;14272;29432445;5000000;0;1092123;10909944;0;101824;0;0;4437680;436073;614710;8909078;2024376;0;1976398;0;22359;18420674;29432442;0;63700957;79211;63780168;78239;502751;64424477;44460828;-324774;183788;0;7023124;715156;7877315;2596596;981265;0;52084;87552;124557;63777491;646984;333266;131340;146911;14272;0;569654;227264;130040;264408;305246;1092123;0;46463;611380;705901;0;348602;1149183;0;0;0;0;0;247;0;0;47322;0;0;833341;ROANNE;12;4,6;Société par actions simplifiée
