SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2018 (€);TOTAL (II) (net) (BJNET) 2018 (€);Matières premières, approvisionnements (net) (BLNET) 2018 (€);En cours de production de biens (net) (BNNET) 2018 (€);En cours de production de services (net) (BPNET) 2018 (€);Produits intermédiaires et finis (net) (BRNET) 2018 (€);Marchandises (net) (BTNET) 2018 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2018 (€);Clients et comptes rattachés (3) (net) (BXNET) 2018 (€);Autres créances (3) (net) (BZNET) 2018 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2018 (€);Valeurs mobilières de placement (net) (CDNET) 2018 (€);Disponibilités (net) (CFNET) 2018 (€);Charges constatées d'avance (3) (net) (CHNET) 2018 (€);TOTAL (III) (net) (CJNET) 2018 (€);Primes de remboursement des obligations (CM) 2018 (€);Ecarts de conversion actif (CN) 2018 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2018 (€);Capital social ou individuel (1) (DA) 2018 (€);Report à nouveau (DH) 2018 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2018 (€);TOTAL (I) (DL) 2018 (€);TOTAL(II) (DO) 2018 (€);TOTAL (III) (DR) 2018 (€);Autres emprunts obligataires (DT) 2018 (€);Emprunts obligataires convertibles (DS) 2018 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2018 (€);Emprunts et dettes financières divers (DV) 2018 (€);Avances et acomptes reçus sur commandes en cours (DW) 2018 (€);Dettes fournisseurs et comptes rattachés (DX) 2018 (€);Dettes fiscales et sociales (DY) 2018 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2018 (€);Autres dettes (EA) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2017 (€);Produits constatés d'avance (EB) 2018 (€);TOTAL (IV) (EC) 2018 (€);TOTAL GENERAL (I à V) (EE) 2018 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2018 (€);Chiffre d'affaires net (France) (FJ) 2018 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2018 (€);Chiffre d'affaires net (Total) (FL) 2018 (€);Chiffre d'affaires net (Total) (FL) 2017 (€);Subventions d'exploitation (FO) 2018 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2018 (€);Total des produits d'exploitation (2) (I) (FR) 2018 (€);Achats de marchandises (y compris droits de douane) (FS) 2018 (€);Variation de stock (marchandises) (FT) 2018 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2018 (€);Variation de stock (matières premières et approvisionnements) (FV) 2018 (€);Autres achats et charges externes (3) (6 bis) (FW) 2018 (€);Impôts, taxes et versements assimilés (FX) 2018 (€);Salaires et traitements (FY) 2018 (€);Charges sociales (10) (FZ) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2018 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2018 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2018 (€);Autres charges (12) (GE) 2018 (€);Total des charges d'exploitation (4) (II) (GF) 2018 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2018 (€);Total des produits financiers (V) (GP) 2018 (€);Intérêts et charges assimilées (GR) 2018 (€);Total des charges financières (VI) (GU) 2018 (€);Dotations financières aux amortissements et provisions (GQ) 2018 (€);Reprises sur provisions & transferts de charges (GM) 2018 (€);Total des produits exceptionnels (VII) (HD) 2018 (€);Reprises sur provisions & transferts de charges (HC) 2018 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2018 (€);Total des charges exceptionnelles (VIII) (HH) 2018 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2018 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2018 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2018 (€);Impôts sur les bénéfices (HK) 2018 (€);Clients douteux ou litigieux - Montant brut (VA) 2018 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2018 (€);Impôts sur les bénéfices - Montant brut (8E) 2018 (€);T.V.A. - Montant brut (VW) 2018 (€);Emprunts remboursés en cours d’exercice (VK) 2018 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2018 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2018 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2018 (€);Effets portés à l’escompte et non échus (YS) 2018 (€);Sous‐traitance (YT) 2018 (€);Ecarts de conversion passif (V) (ED) 2018 (€);Production stockée (FM) 2018 (€);Production immobilisée (FN) 2018 (€);(3) Dont Crédit-bail mobilier (HP) 2018 (€);(3) Dont Crédit-bail immobilier (HQ) 2018 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2018 (€);Ville;Nombre de mois de l'exercice comptable 2018;Catégorie juridique (Niveau II)
688202670;GARAGE DE LA GARE DE BEAUCHAMP;68820267000016;4511Z;;;95220;01/01/1968;De 50 à 99 salariés;0;792773;0;16383;41504;0;12475500;586839;3711641;4711067;0;0;1023717;16211;22582862;0;0;23375635;1000000;8029;252385;4860535;0;26000;0;0;2396337;0;516002;14788730;694847;0;93186;0;0;0;18489102;23375637;0;42394853;0;42394853;43651410;0;337825;42733883;39883751;-4353582;111;0;2936277;279353;2353850;940816;137287;0;116360;21000;8373;42329596;410287;31035;118309;118309;0;0;0;0;0;2146;-2146;252385;0;68482;112687;249941;0;171479;33663;0;0;0;0;0;0;-15947;0;0;0;928013;PIERRELAYE;12;Société par actions simplifiée
641820246;O. M. I. A.;64182024600024;2829B;;;16340;01/01/1964;De 100 à 199 salariés;0;3607845;1951895;170173;0;0;0;0;8692567;568052;0;0;3544984;162452;15090123;0;0;18697968;1445000;418721;1507024;4651305;0;160290;0;0;1458750;0;4232;5692472;3428536;0;22540;0;;3279842;13886373;18697968;0;29395709;4551600;33947309;;0;432717;33515265;0;0;10834556;-913605;9327074;562475;7587341;3231744;320024;2091;42807;0;190;30994696;2520570;16264;30696;47946;0;0;164149;138156;31719;256603;-92454;1507024;300614;588795;103723;998360;0;18772;220996;0;0;0;0;0;0;-864761;0;0;0;2488888;L'ISLE D'ESPAGNAC;12;Société par actions simplifiée
352593792;ANNEE DISTRIBUTION / SUPER U;35259379200026;4711F;;;35550;02/11/1989;De 50 à 99 salariés;0;4098694;11233;0;0;0;1356859;0;131361;507290;0;0;986700;88947;3082390;0;0;7181084;805000;0;350974;3417675;0;30000;0;0;1595737;4700;0;1477802;654465;0;0;0;0;705;3733408;7181084;0;0;0;25844213;24494620;28326;157257;26041319;20676071;40994;44841;3964;1750643;246576;1762824;422911;557097;0;34755;0;6838;25547513;493806;13698;22619;22619;0;0;800;0;30000;31448;-30648;350974;45931;57332;0;0;0;0;530559;0;0;0;0;0;0;0;0;0;0;484885;PIPRIAC;12;Société par actions simplifiée
480261981;B.G.C.;48026198100033;4120B;;;57255;03/01/2005;De 20 à 49 salariés;0;307738;1476;0;0;0;0;0;2270097;220498;0;489400;8090426;16980;11088877;0;0;11396615;2010000;0;1465892;4104397;0;1180891;0;0;476;12428;0;2191700;1279011;2043;370692;0;0;2254977;6111327;11396615;0;16768998;0;16768998;12008664;0;926305;17697220;0;0;1012322;-971;11247184;120700;1253108;495427;75640;909514;2001;0;1806;15116732;2580488;111164;94;11444;11350;13632;41679;0;271377;382340;-340660;1465892;0;873655;100020;258912;327688;471531;0;0;0;0;0;0;0;0;0;0;0;2680207;SAINTE-MARIE-AUX-CHENES;12;Société par actions simplifiée
487555682;HEXANET;48755568200011;6110Z;;;60000;01/12/2005;De 50 à 99 salariés;0;5105692;0;0;0;0;98542;48564;2147949;517568;0;0;825050;260099;3897772;0;0;9003465;100000;0;806087;3413972;0;523870;0;0;1378866;17796;6463;1317744;1838203;0;3358;0;0;503194;5065623;9003465;3670;15130090;0;15130090;13402238;0;52862;15183268;1369404;10727;0;0;6870466;205232;3024759;1192371;924812;0;32067;96719;1026;13727583;1455685;1;17783;17799;0;0;736;0;0;6211;-5475;806087;145701;480624;240896;408127;0;534464;453964;0;0;0;0;0;0;0;0;0;0;1437887;TILLE;12;Société par actions simplifiée
428649545;AXE METAL;42864954500012;2550B;;;14100;17/12/1999;De 100 à 199 salariés;0;1991173;1674415;2164327;0;691413;99843;39301;1920659;1752290;0;0;342123;23070;8707443;0;0;10698616;3000000;-3506303;-281258;1544883;0;263943;0;0;1110771;2418866;97269;3731991;1407059;0;38832;0;0;85000;8889790;10698616;0;17027588;731031;17758620;17326597;18330;400880;19038155;297594;-44502;6676882;-430290;5806349;502442;4419065;1503280;346883;0;171114;17108;29791;19295719;-257564;10459;45036;45036;0;0;79779;26790;67029;69696;10082;-281258;0;-800;5173;460070;0;63109;0;0;0;0;0;0;0;818786;0;217850;0;-292141;SAINT-DESIR;12;Société par actions simplifiée
425127875;VILVERT MENUISERIE;42512787500010;4332A;;;42600;15/11/1999;De 20 à 49 salariés;0;1219606;593614;0;0;0;0;53832;2326529;468023;0;1323892;3384236;3364;8153490;0;0;9373096;100000;0;1185906;4270365;0;72000;0;0;188689;1349223;665041;2201584;620721;0;1873;0;0;3600;5030732;9373096;0;15323473;0;15323473;12606373;1189;30389;15355109;27698;0;9059308;95277;2289352;121794;1311485;428519;121244;0;66406;0;20395;13541478;1813631;59380;21153;78601;56458;0;17251;0;72000;78965;-61715;1185906;0;546789;148780;226257;2267;162245;82940;0;0;0;0;0;0;0;0;0;0;1794410;MONTBRISON;12;Société par actions simplifiée
412654899;DISTRIMIR / SUPER U;41265489900019;4711D;;;17000;23/06/1997;De 20 à 49 salariés;0;942675;0;0;0;0;487873;0;21578;230101;0;0;585531;56521;1381607;0;0;2324283;152400;49752;153831;1245740;0;0;0;0;14263;34215;0;783330;242631;0;1561;0;0;2539;1078543;2324283;0;3243010;0;3243010;9348752;0;10311;3258372;2328571;9319;14625;0;510751;31204;298947;77034;55608;0;433;0;6330;3332826;-74454;243587;1782;1782;0;0;61;61;0;0;61;153831;0;13581;1238;80954;0;257;14214;0;0;0;0;0;0;0;0;0;0;167351;LA ROCHELLE;4;Société par actions simplifiée
452739865;QUO VADIS;45273986500015;4764Z;;;83500;22/03/2004;De 10 à 19 salariés;0;2435246;0;0;0;0;1996550;0;917745;568547;0;2000;21953;269107;3775902;0;0;6211148;495000;-811122;-92230;282402;0;40834;0;0;2330777;1625687;0;695287;454678;0;725103;0;0;56381;5887913;6211148;1911975;16351565;3251;16354816;15149893;9169;109417;16485008;13014241;208801;0;0;1511814;122299;1081188;423652;97533;0;13855;0;2159;16475541;9466;0;47926;47926;0;0;42105;0;87212;95875;-53770;-92230;0;0;0;124530;0;203535;72286;0;0;0;0;0;0;0;0;0;0;-38460;LA SEYNE-SUR-MER;12;Société par actions simplifiée
354061855;LAFAGE FRERES;35406185500012;0812Z;;;40465;23/03/1990;De 20 à 49 salariés;0;2697788;301196;0;0;2227658;88105;0;1564546;277405;0;0;99177;123501;4681589;0;0;7379377;1229473;231079;451575;3616636;0;300000;0;0;1670066;2667;0;953154;540038;0;282565;0;0;14250;3462741;7379377;886744;6235520;8588;6244108;5473270;2078;21670;6151181;178048;54798;83866;19249;3409309;528889;664981;241715;484302;0;4941;0;187;5670287;480894;9;35053;35053;0;0;241180;127212;67360;60455;180725;451575;0;175000;7849;82198;0;92563;420374;0;0;0;0;0;0;-121076;0;609675;0;445850;PONTONX SUR L'ADOUR;12;Société par actions simplifiée
