SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2018 (€);TOTAL (II) (net) (BJNET) 2018 (€);Matières premières, approvisionnements (net) (BLNET) 2018 (€);En cours de production de biens (net) (BNNET) 2018 (€);En cours de production de services (net) (BPNET) 2018 (€);Produits intermédiaires et finis (net) (BRNET) 2018 (€);Marchandises (net) (BTNET) 2018 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2018 (€);Clients et comptes rattachés (3) (net) (BXNET) 2018 (€);Autres créances (3) (net) (BZNET) 2018 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2018 (€);Valeurs mobilières de placement (net) (CDNET) 2018 (€);Disponibilités (net) (CFNET) 2018 (€);Charges constatées d'avance (3) (net) (CHNET) 2018 (€);TOTAL (III) (net) (CJNET) 2018 (€);Primes de remboursement des obligations (CM) 2018 (€);Ecarts de conversion actif (CN) 2018 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2018 (€);Capital social ou individuel (1) (DA) 2018 (€);Report à nouveau (DH) 2018 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2018 (€);TOTAL (I) (DL) 2018 (€);TOTAL(II) (DO) 2018 (€);TOTAL (III) (DR) 2018 (€);Autres emprunts obligataires (DT) 2018 (€);Emprunts obligataires convertibles (DS) 2018 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2018 (€);Emprunts et dettes financières divers (DV) 2018 (€);Avances et acomptes reçus sur commandes en cours (DW) 2018 (€);Dettes fournisseurs et comptes rattachés (DX) 2018 (€);Dettes fiscales et sociales (DY) 2018 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2018 (€);Autres dettes (EA) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2017 (€);Produits constatés d'avance (EB) 2018 (€);TOTAL (IV) (EC) 2018 (€);TOTAL GENERAL (I à V) (EE) 2018 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2018 (€);Chiffre d'affaires net (France) (FJ) 2018 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2018 (€);Chiffre d'affaires net (Total) (FL) 2018 (€);Chiffre d'affaires net (Total) (FL) 2017 (€);Subventions d'exploitation (FO) 2018 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2018 (€);Total des produits d'exploitation (2) (I) (FR) 2018 (€);Achats de marchandises (y compris droits de douane) (FS) 2018 (€);Variation de stock (marchandises) (FT) 2018 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2018 (€);Variation de stock (matières premières et approvisionnements) (FV) 2018 (€);Autres achats et charges externes (3) (6 bis) (FW) 2018 (€);Impôts, taxes et versements assimilés (FX) 2018 (€);Salaires et traitements (FY) 2018 (€);Charges sociales (10) (FZ) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2018 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2018 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2018 (€);Autres charges (12) (GE) 2018 (€);Total des charges d'exploitation (4) (II) (GF) 2018 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2018 (€);Total des produits financiers (V) (GP) 2018 (€);Intérêts et charges assimilées (GR) 2018 (€);Total des charges financières (VI) (GU) 2018 (€);Dotations financières aux amortissements et provisions (GQ) 2018 (€);Reprises sur provisions & transferts de charges (GM) 2018 (€);Total des produits exceptionnels (VII) (HD) 2018 (€);Reprises sur provisions & transferts de charges (HC) 2018 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2018 (€);Total des charges exceptionnelles (VIII) (HH) 2018 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2018 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2018 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2018 (€);Impôts sur les bénéfices (HK) 2018 (€);Clients douteux ou litigieux - Montant brut (VA) 2018 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2018 (€);Impôts sur les bénéfices - Montant brut (8E) 2018 (€);T.V.A. - Montant brut (VW) 2018 (€);Emprunts remboursés en cours d’exercice (VK) 2018 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2018 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2018 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2018 (€);Effets portés à l’escompte et non échus (YS) 2018 (€);Sous‐traitance (YT) 2018 (€);Ecarts de conversion passif (V) (ED) 2018 (€);Production stockée (FM) 2018 (€);Production immobilisée (FN) 2018 (€);(3) Dont Crédit-bail mobilier (HP) 2018 (€);(3) Dont Crédit-bail immobilier (HQ) 2018 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2018 (€);Ville;Nombre de mois de l'exercice comptable 2018;Catégorie juridique (Niveau II)
400313318;MILLET MOUNTAIN GROUP SAS;40031331800026;4642Z;;;74940;07/02/1995;De 250 à 499 salariés;0;7455000;0;0;0;0;27989000;0;14317000;2357000;0;0;6368000;343000;51374000;0;0;58829000;3921000;1050000;-2169000;8668000;0;768000;0;0;0;19876000;0;19776000;5237000;0;4306000;0;0;198000;49393000;58829000;0;88423000;0;88423000;83079573;0;0;96542000;50399000;-8279000;0;0;29825000;1058000;14704000;0;945000;0;7331000;0;1785000;97768000;-1226000;0;677000;677000;0;0;0;0;0;387000;-387000;-2169000;0;-121000;0;0;0;0;0;0;0;0;0;0;0;215000;0;0;0;-1903000;ANNECY;12;Société par actions simplifiée
338446628;AQUAPRODUCTION / ADRIATIC;33844662800020;2511Z;;;44680;01/07/1986;De 200 à 249 salariés;0;14827371;12016624;0;0;3030306;0;97836;4829525;2958372;0;0;398107;237282;23568051;0;0;38395422;6562500;-2890809;-695092;8116759;0;0;0;0;10429376;5373349;0;7214824;2518263;0;4742850;0;0;0;30278662;38395422;17507;49193887;5116551;54310438;54908462;0;185720;55293104;0;0;26760734;-578919;14986164;793889;7738661;2847200;2654990;0;243854;0;13921;55460495;-167391;95495;567034;683658;0;0;5018;0;9698;10178;-5161;-695092;0;-65623;0;442284;0;289789;0;0;0;0;0;0;0;713392;70070;21029;0;-755554;CHAUMES-EN-RETZ;12;Société par actions simplifiée
306772567;SACFEL;30677256700021;4631Z;;;47190;01/01/1976;De 6 à 9 salariés;0;1505707;204504;0;0;0;0;0;42847;903425;41107;59221;5225120;45247;6521474;0;0;8027181;38112;0;855885;5672390;0;0;0;0;653636;6285;0;1532418;160649;0;1800;0;;0;2354790;8027181;0;31639168;0;31639168;;0;358139;32000698;24939796;0;1676533;-24555;2984154;122680;915287;205325;287562;0;0;0;6342;31113128;887570;1079;6910;20204;13293;0;618675;0;0;337957;280718;855885;0;293278;399;89886;0;8075;203687;0;0;0;0;0;0;3093;297;0;0;868445;AIGUILLON;12;Société par actions simplifiée
421089426;SOCIETE DE DISTRIBUTION DE LA SAINTONGE;42108942600017;4711D;;;17130;10/12/1998;De 50 à 99 salariés;0;2283601;7073;0;0;0;1701953;0;135193;367718;0;2070320;535386;12515;4830159;0;0;7113761;1019063;0;808670;5187414;0;0;0;0;598408;40394;0;593641;670509;3300;20094;0;0;0;1926347;7113761;0;28083300;0;28083300;27512697;479;64947;28149468;23082782;-66659;54593;-2010;1351768;273196;1735926;554566;192832;0;1729;0;3031;27181753;967714;105323;13168;13168;0;0;115259;0;0;4933;110327;808670;116559;244967;2429;305765;0;89909;192509;0;0;0;0;135833;0;0;0;16429;0;1059869;MONTENDRE;12;Société par actions simplifiée
332125681;POLYCLINIQUE DU MAINE;33212568100020;8610Z;;;53000;07/03/1985;De 100 à 199 salariés;0;2523256;939339;0;0;0;0;0;1584699;1437216;0;0;50619;670180;4682054;0;0;7205311;2265732;-2788849;671604;300510;0;50000;0;0;2296762;132077;30723;3367350;716253;181640;128907;0;0;1084;6854800;7205311;0;24856960;0;24856960;23608758;373855;322745;25586552;0;0;8806559;-112139;6857956;1220449;5490191;1995706;542536;0;0;0;141355;24942617;643935;1031;48506;48506;0;0;21650;0;0;0;21650;671604;0;-53494;0;577998;0;38691;332893;0;0;0;0;2987721;0;0;0;54017;0;596460;LAVAL;12;Société anonyme à conseil d'administration
316980085;PEZENAS DISTRIBUTION / CHAMPION;31698008500013;4711F;;;34120;01/01/1969;De 100 à 199 salariés;0;897344;0;0;0;0;1280440;0;18204;1324492;0;0;2424353;38843;5086332;0;0;5983675;450000;14486;327011;1187578;0;183415;0;0;186166;8731;0;1961921;940865;113087;13426;0;0;1388486;4612682;5983675;23250;26300212;0;26300212;27182711;-1267;61056;26363296;20374116;69101;38373;0;1714418;293717;2167960;610353;237908;0;20;23658;662179;26191802;171494;513;3265;3265;0;0;344483;0;0;54788;289695;327011;78611;52816;0;192659;0;12958;184243;0;0;0;0;210399;0;0;0;0;0;168743;PEZENAS;12;Société par actions simplifiée
380177170;SOCIETE DE DEVELOPPEMENT ET DE GESTION D'IMMOBILIER SOCIAL;38017717000111;6820A;;;97430;06/12/1990;De 50 à 99 salariés;0;354189467;196342;3662097;125891;2663990;4680;47483;1335349;55623313;0;0;9190400;271912;73121455;0;0;427310922;9014400;5073050;1267786;104282393;0;3816146;0;0;281665008;4817050;2626718;2232896;1215013;6896469;1911327;0;;17847902;319212384;427310922;0;22402971;0;22402971;;12225;5504779;30442762;1398;0;0;0;11079482;1865741;3677429;1734595;6262863;0;436020;289364;539975;25886868;4555895;2466942;2091241;2091241;0;0;14803036;-4969053;0;18466846;-3663810;1267786;0;0;0;361588;0;428899;9381333;0;0;0;0;0;0;835288;1687414;0;4205312;4931596;LE TAMPON;12;Société anonyme à conseil d'administration
391653763;SCOA SPRIINT INTER / SCOA INTER;39165376300055;4690Z;;;94800;16/06/1993;De 10 à 19 salariés;0;570048;0;0;0;0;2443702;0;3929186;563430;0;0;2202614;2359;9141291;0;9862;9721201;1605600;3060931;620742;5464881;0;9862;0;0;387413;750;0;3257835;595905;0;4555;0;0;0;4246458;9721201;387413;3889814;21192228;25082042;28512058;0;228115;25310388;21827597;-178487;5908;0;1224866;108664;686867;417742;13898;0;45113;0;15;24152184;1158204;1737;14924;24786;9862;0;2991;0;0;252744;-249753;620742;0;264661;0;206052;0;88494;0;0;0;0;0;0;0;0;0;41881;0;1135156;VILLEJUIF;12;Société par actions simplifiée
439039348;SYLVAMETAL;43903934800024;4120B;;;77184;18/07/2001;De 20 à 49 salariés;0;702437;0;3853930;0;0;0;6404;7838893;9933019;0;0;14990;8341;21655578;0;0;22358015;40000;4604198;1092589;5740787;0;0;0;0;58042;0;10799577;3158756;2586139;2608;3517;0;0;8590;16617228;22358015;0;17043404;0;17043404;16524064;0;7106;15322105;0;0;1108407;0;10218757;141132;1616674;1020832;147649;0;0;0;119;14253570;1068536;311900;150;150;0;0;70998;0;0;209;70789;1092589;0;358485;0;189831;0;2063706;0;0;0;0;0;0;0;-1728440;0;0;0;1380285;EMERAINVILLE;12;Société par actions simplifiée
487180473;CEREXPORT;48718047300018;5210B;;;85100;01/01/1900;;0;121979;0;0;0;0;4767944;400000;3391840;64796;0;0;638925;171022;9434526;0;0;9556505;12800;0;-211388;10472;0;0;0;0;0;0;0;1000114;189194;0;8356725;0;0;0;9546033;9556505;0;24602812;700722;25303534;21297949;0;776494;26080031;24639016;-337410;0;0;1420881;38166;0;0;37881;0;0;0;2;25798536;281495;0;108279;108279;0;0;0;0;0;384604;-384604;-211388;0;0;0;0;0;169645;0;0;0;0;0;0;0;0;0;0;0;173216;LES SABLES D'OLONNE;12;Société à responsabilité limitée (SARL)
