SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2018 (€);TOTAL (II) (net) (BJNET) 2018 (€);Matières premières, approvisionnements (net) (BLNET) 2018 (€);En cours de production de biens (net) (BNNET) 2018 (€);En cours de production de services (net) (BPNET) 2018 (€);Produits intermédiaires et finis (net) (BRNET) 2018 (€);Marchandises (net) (BTNET) 2018 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2018 (€);Clients et comptes rattachés (3) (net) (BXNET) 2018 (€);Autres créances (3) (net) (BZNET) 2018 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2018 (€);Valeurs mobilières de placement (net) (CDNET) 2018 (€);Disponibilités (net) (CFNET) 2018 (€);Charges constatées d'avance (3) (net) (CHNET) 2018 (€);TOTAL (III) (net) (CJNET) 2018 (€);Primes de remboursement des obligations (CM) 2018 (€);Ecarts de conversion actif (CN) 2018 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2018 (€);Capital social ou individuel (1) (DA) 2018 (€);Report à nouveau (DH) 2018 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2018 (€);TOTAL (I) (DL) 2018 (€);TOTAL(II) (DO) 2018 (€);TOTAL (III) (DR) 2018 (€);Autres emprunts obligataires (DT) 2018 (€);Emprunts obligataires convertibles (DS) 2018 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2018 (€);Emprunts et dettes financières divers (DV) 2018 (€);Avances et acomptes reçus sur commandes en cours (DW) 2018 (€);Dettes fournisseurs et comptes rattachés (DX) 2018 (€);Dettes fiscales et sociales (DY) 2018 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2018 (€);Autres dettes (EA) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2017 (€);Produits constatés d'avance (EB) 2018 (€);TOTAL (IV) (EC) 2018 (€);TOTAL GENERAL (I à V) (EE) 2018 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2018 (€);Chiffre d'affaires net (France) (FJ) 2018 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2018 (€);Chiffre d'affaires net (Total) (FL) 2018 (€);Chiffre d'affaires net (Total) (FL) 2017 (€);Subventions d'exploitation (FO) 2018 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2018 (€);Total des produits d'exploitation (2) (I) (FR) 2018 (€);Achats de marchandises (y compris droits de douane) (FS) 2018 (€);Variation de stock (marchandises) (FT) 2018 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2018 (€);Variation de stock (matières premières et approvisionnements) (FV) 2018 (€);Autres achats et charges externes (3) (6 bis) (FW) 2018 (€);Impôts, taxes et versements assimilés (FX) 2018 (€);Salaires et traitements (FY) 2018 (€);Charges sociales (10) (FZ) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2018 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2018 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2018 (€);Autres charges (12) (GE) 2018 (€);Total des charges d'exploitation (4) (II) (GF) 2018 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2018 (€);Total des produits financiers (V) (GP) 2018 (€);Intérêts et charges assimilées (GR) 2018 (€);Total des charges financières (VI) (GU) 2018 (€);Dotations financières aux amortissements et provisions (GQ) 2018 (€);Reprises sur provisions & transferts de charges (GM) 2018 (€);Total des produits exceptionnels (VII) (HD) 2018 (€);Reprises sur provisions & transferts de charges (HC) 2018 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2018 (€);Total des charges exceptionnelles (VIII) (HH) 2018 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2018 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2018 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2018 (€);Impôts sur les bénéfices (HK) 2018 (€);Clients douteux ou litigieux - Montant brut (VA) 2018 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2018 (€);Impôts sur les bénéfices - Montant brut (8E) 2018 (€);T.V.A. - Montant brut (VW) 2018 (€);Emprunts remboursés en cours d’exercice (VK) 2018 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2018 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2018 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2018 (€);Effets portés à l’escompte et non échus (YS) 2018 (€);Sous‐traitance (YT) 2018 (€);Ecarts de conversion passif (V) (ED) 2018 (€);Production stockée (FM) 2018 (€);Production immobilisée (FN) 2018 (€);(3) Dont Crédit-bail mobilier (HP) 2018 (€);(3) Dont Crédit-bail immobilier (HQ) 2018 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2018 (€);Ville;Nombre de mois de l'exercice comptable 2018;Catégorie juridique (Niveau II)
398517169;VERIZON FRANCE / VERIZON BUSINESS;39851716900502;6110Z;;;92400;02/09/1994;De 200 à 249 salariés;0;70004686;0;0;0;0;0;360000;22354972;145573883;0;0;7553946;2214396;178057197;0;652509;248714392;45120823;55145217;3165284;114547554;0;32020159;0;0;1162510;16575;0;13401783;13852265;0;59161378;0;0;2792903;90387414;248714392;0;124108911;0;124108911;144488933;0;1704399;164357867;5290510;0;0;0;67832849;3314677;25122655;11888637;14541040;0;215867;30314650;1202090;159722977;4634890;7277453;1782999;7667757;652509;1866601;149464;0;0;192518;-43054;3165284;0;1036249;3577058;4872593;0;823790;12471;0;0;0;0;0;11759265;0;830151;0;0;4244586;COURBEVOIE;12;Société par actions simplifiée
806720371;GROUPE LECOQ;80672037100079;4661Z;;;28150;01/01/1967;De 100 à 199 salariés;0;9732977;66263;530128;0;0;15780700;539724;6259612;951094;0;0;42139;285033;24454692;0;0;34187668;2400000;0;-414157;17674292;0;834695;0;0;6324345;548458;1029811;5977230;1454720;0;137604;0;0;206513;15678682;34187668;5091241;0;0;50297322;52081287;0;4149136;54725821;39906747;665950;476224;-20012;2700302;370675;5446708;2077450;315311;0;2749465;439195;112339;55240356;-514535;34208;211291;211291;0;0;718793;683483;395715;459199;259594;-414157;0;-17867;0;0;0;0;681429;0;0;0;0;0;0;-15048;17044;0;0;-691619;BOISVILLE-LA-SAINT-PERE;12;Société anonyme à directoire
354051930;FAUDIS / SUPER U;35405193000023;4711D;;;76640;29/12/1989;De 20 à 49 salariés;0;442646;3569;0;0;0;772761;0;157413;187805;0;0;1148570;27031;2297148;0;0;2739794;40000;0;606931;766002;0;0;0;0;0;98724;0;1508313;348020;6000;12736;0;0;0;1973792;2739794;0;21153851;0;21153851;10065638;12829;26916;21197217;17284995;116742;39263;-1438;1328631;187129;1037015;219171;132517;0;2658;0;10241;20356925;840292;1040;3442;3442;0;0;5809;0;0;4278;1530;606931;0;232490;2805;82169;0;10890;0;0;0;0;0;0;0;0;0;0;0;837890;TERRES-DE-CAUX;12;Société anonyme à conseil d'administration
401443619;COMPTOIR LA NORMANDE;40144361900036;4632A;;;27800;01/06/1995;De 3 à 5 salariés;0;67667;0;0;0;0;140538;0;2288456;55868;0;54975;152596;205;2692639;0;0;2760306;160000;0;213210;421077;0;65029;0;0;0;4684;790;2101887;114050;0;52790;0;0;0;2274200;2760306;0;18035676;93628;18129304;10823021;0;7320;18138764;17119767;-23458;0;0;488818;87391;74411;33285;9402;0;21354;0;5563;17816533;322231;0;176;176;0;0;0;0;0;14757;-14757;213210;0;94087;45058;16536;37013;40368;0;0;0;0;0;110322;0;0;0;0;0;322055;BOISNEY;12;Société à responsabilité limitée (SARL)
424370898;INSTALLATIONS-DEPANNAGES-ENTRETIENS ELECTRIQUES;42437089800027;4321A;;;77860;01/07/1999;De 100 à 199 salariés;0;190898;0;0;0;0;0;16248;6164989;35399;0;0;2291582;22202;8530420;0;0;8721318;600000;95923;675840;4489849;0;0;0;0;38763;3110;0;2080393;1624370;0;484832;0;0;0;4231469;8721318;0;16710135;0;16710135;16424530;38211;9065;16757478;8107;0;7201213;0;3028632;314696;3332953;1778416;90576;0;0;0;56652;15811245;946232;46091;2001;2001;0;0;6510;0;0;6000;510;675840;85934;229059;0;252232;0;930733;94049;0;0;0;0;0;0;0;0;0;0;990323;QUINCY-VOISINS;12;Société par actions simplifiée
381182864;LES JONQUILLES / INTERMARCHE;38118286400029;4711D;;;88400;02/01/1991;De 20 à 49 salariés;0;1850027;0;0;0;0;971287;0;75353;194775;0;350000;268484;28802;1888703;0;0;3738730;350000;0;333141;1547156;0;0;0;0;988888;140291;2210;763066;260470;25508;11137;0;0;0;2191573;3738730;23177;18540489;0;18540489;16967738;7463;86958;18638877;13970180;16755;1265252;0;1476578;150118;861555;229552;220620;0;26548;0;519;18217681;421195;35254;40031;40031;0;0;38441;7373;41859;86770;-48328;333141;0;34949;1092;97447;0;26613;397934;0;0;0;0;89277;0;0;0;2526;0;416419;GERARDMER;12;Société par actions simplifiée
528944614;PARASCANDOLA-CTO;52894461400015;4511Z;;;83500;10/12/2010;De 20 à 49 salariés;0;988041;0;0;4700;0;4637506;277754;379236;611968;0;0;335025;72285;6318476;0;0;7306518;153000;0;231387;1394553;0;7700;0;0;572043;953571;92743;3783761;356273;0;20234;0;0;125636;5904264;7306518;72043;20506591;0;20506591;19142628;0;105281;20643478;16497731;-128298;0;0;1792726;176789;1184427;551496;84518;0;92132;7700;16654;20275879;367599;47;25484;25484;0;0;46783;0;0;47346;-562;231387;38899;71313;0;0;0;0;0;0;0;0;0;0;0;-8215;0;0;0;342162;LA SEYNE-SUR-MER;12;Société par actions simplifiée
421133737;SIVAR-SOLS INDUSTRIELS VALLEE DU RHONE / SOREDAL;42113373700021;4399C;;;26270;09/12/1998;De 20 à 49 salariés;0;108500;36011;0;0;0;0;0;1721380;148521;0;0;659955;82566;2648433;0;0;2756932;100000;0;256225;811656;0;50942;0;0;45969;0;20015;1362630;428830;0;15512;0;0;21380;1894335;2756932;1469;9579678;0;9579678;10020229;0;71040;9650768;0;0;5323394;9334;2169863;58578;1034653;640357;37675;0;1500;13000;10536;9298891;351877;735;96;96;0;0;23728;15363;5833;29838;-6110;256225;0;90180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;352515;LORIOL-SUR-DROME;12;Société par actions simplifiée
332077452;DEVEXPORT;33207745200057;4619B;;;75002;21/01/1985;De 6 à 9 salariés;0;14339414;0;0;0;0;49878;1863464;12087941;371560;0;0;493430;2313115;17179388;0;1301;31520103;1344000;306524;217907;5736742;14248993;2211629;0;0;528814;681818;2386564;4893991;192719;0;5549;0;0;633241;9322697;31520103;482917;41449;17296452;17337901;24313350;0;1864676;19206604;14407909;0;0;0;1648826;34217;343210;143338;15334;0;2068998;0;3372;18665204;541399;12971;331219;339949;1260;3926;11920;0;0;10533;1387;217907;0;110883;0;82622;0;2611;17671428;0;0;0;0;0;41;0;0;0;0;327403;PARIS 2;12;Société par actions simplifiée
337762439;SOCIETE DE TRAVAUX PUBLICS DEMOLITION NETTOYAGE INDUSTRIEL;33776243900046;5224B;;;62136;01/02/1986;De 20 à 49 salariés;0;746780;38181;0;0;0;0;0;3108678;7147973;0;0;722219;65539;11082591;0;0;11829370;350000;0;248487;6403488;0;694562;0;0;613;2035350;0;1763749;894696;0;36912;0;;0;4731320;11829370;613;10315423;1371401;11686824;;5463;4981;11710264;0;0;1035953;15952;7479509;241876;1414096;872843;191744;0;18431;230978;81;11501456;208808;104494;39571;39571;0;0;190678;0;0;175812;14866;248487;0;40109;92634;233191;0;469963;0;0;0;0;0;0;0;0;0;1006382;0;273730;RICHEBOURG;12;Société par actions simplifiée
