SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2018 (€);TOTAL (II) (net) (BJNET) 2018 (€);Matières premières, approvisionnements (net) (BLNET) 2018 (€);En cours de production de biens (net) (BNNET) 2018 (€);En cours de production de services (net) (BPNET) 2018 (€);Produits intermédiaires et finis (net) (BRNET) 2018 (€);Marchandises (net) (BTNET) 2018 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2018 (€);Clients et comptes rattachés (3) (net) (BXNET) 2018 (€);Autres créances (3) (net) (BZNET) 2018 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2018 (€);Valeurs mobilières de placement (net) (CDNET) 2018 (€);Disponibilités (net) (CFNET) 2018 (€);Charges constatées d'avance (3) (net) (CHNET) 2018 (€);TOTAL (III) (net) (CJNET) 2018 (€);Primes de remboursement des obligations (CM) 2018 (€);Ecarts de conversion actif (CN) 2018 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2018 (€);Capital social ou individuel (1) (DA) 2018 (€);Report à nouveau (DH) 2018 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2018 (€);TOTAL (I) (DL) 2018 (€);TOTAL(II) (DO) 2018 (€);TOTAL (III) (DR) 2018 (€);Autres emprunts obligataires (DT) 2018 (€);Emprunts obligataires convertibles (DS) 2018 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2018 (€);Emprunts et dettes financières divers (DV) 2018 (€);Avances et acomptes reçus sur commandes en cours (DW) 2018 (€);Dettes fournisseurs et comptes rattachés (DX) 2018 (€);Dettes fiscales et sociales (DY) 2018 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2018 (€);Autres dettes (EA) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2017 (€);Produits constatés d'avance (EB) 2018 (€);TOTAL (IV) (EC) 2018 (€);TOTAL GENERAL (I à V) (EE) 2018 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2018 (€);Chiffre d'affaires net (France) (FJ) 2018 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2018 (€);Chiffre d'affaires net (Total) (FL) 2018 (€);Chiffre d'affaires net (Total) (FL) 2017 (€);Subventions d'exploitation (FO) 2018 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2018 (€);Total des produits d'exploitation (2) (I) (FR) 2018 (€);Achats de marchandises (y compris droits de douane) (FS) 2018 (€);Variation de stock (marchandises) (FT) 2018 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2018 (€);Variation de stock (matières premières et approvisionnements) (FV) 2018 (€);Autres achats et charges externes (3) (6 bis) (FW) 2018 (€);Impôts, taxes et versements assimilés (FX) 2018 (€);Salaires et traitements (FY) 2018 (€);Charges sociales (10) (FZ) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2018 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2018 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2018 (€);Autres charges (12) (GE) 2018 (€);Total des charges d'exploitation (4) (II) (GF) 2018 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2018 (€);Total des produits financiers (V) (GP) 2018 (€);Intérêts et charges assimilées (GR) 2018 (€);Total des charges financières (VI) (GU) 2018 (€);Dotations financières aux amortissements et provisions (GQ) 2018 (€);Reprises sur provisions & transferts de charges (GM) 2018 (€);Total des produits exceptionnels (VII) (HD) 2018 (€);Reprises sur provisions & transferts de charges (HC) 2018 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2018 (€);Total des charges exceptionnelles (VIII) (HH) 2018 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2018 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2018 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2018 (€);Impôts sur les bénéfices (HK) 2018 (€);Clients douteux ou litigieux - Montant brut (VA) 2018 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2018 (€);Impôts sur les bénéfices - Montant brut (8E) 2018 (€);T.V.A. - Montant brut (VW) 2018 (€);Emprunts remboursés en cours d’exercice (VK) 2018 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2018 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2018 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2018 (€);Effets portés à l’escompte et non échus (YS) 2018 (€);Sous‐traitance (YT) 2018 (€);Ecarts de conversion passif (V) (ED) 2018 (€);Production stockée (FM) 2018 (€);Production immobilisée (FN) 2018 (€);(3) Dont Crédit-bail mobilier (HP) 2018 (€);(3) Dont Crédit-bail immobilier (HQ) 2018 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2018 (€);Ville;Nombre de mois de l'exercice comptable 2018;Catégorie juridique (Niveau II)
529319980;DELTA PLUS SERVICES;52931998000023;4669B;;;84400;29/12/2010;De 100 à 199 salariés;0;1109059;381752;0;0;0;13877419;192213;9275225;3108437;0;0;14619;277891;27127558;0;0;28236617;6560000;2492649;675065;11096805;0;0;0;0;8153082;1648;1635;7067892;1896888;0;18664;0;0;0;17139811;28236617;5082639;41261906;17380194;58642101;59575682;12184;515195;59169649;40151694;965737;228181;81533;9172347;403320;4630153;1784515;133573;0;0;0;590771;58141829;1027820;101240;222386;275588;0;0;20730;0;0;27180;-6450;675065;72000;99957;0;0;0;0;20624;0;0;0;0;0;0;0;0;0;0;853472;APT;12;Société par actions simplifiée
562055079;UPS SCS (FRANCE) SAS / UPS SUPPLY CHAIN SOLUTIONS;56205507901351;5229B;;;93420;01/01/1900;De 200 à 249 salariés;0;2757624;0;0;0;0;0;4175899;10158884;6813727;0;0;3912725;284119;25345356;0;0;28102980;9986430;1795780;383713;12382958;0;1163128;0;0;0;0;106134;6129189;2582039;0;5739531;0;0;0;14556894;28102980;0;56385930;0;56385930;59827470;0;2101613;63660378;0;0;5311;0;48994608;1139162;8063862;3462669;338782;0;0;94441;193645;62292481;1367897;909828;171164;768709;0;0;278563;0;815127;1403866;-1125303;383713;0;0;1375312;1221882;0;184623;0;0;0;0;0;0;0;0;0;0;0;1509016;VILLEPINTE;12;Société par actions simplifiée
795231158;MINAKEM BEUVRY PRODUCTION;79523115800010;2014Z;;;59310;16/08/2013;De 100 à 199 salariés;0;8221459;4723792;0;0;7058044;0;0;6350325;671932;0;0;29033;23497;18856623;0;0;27078082;16001361;-7723991;1455904;10406052;0;587671;0;0;160113;9217739;0;3850343;2831842;0;24322;0;0;0;16084359;27078082;0;0;0;31537022;18826889;1500;1491138;33161193;0;0;13645629;781733;7491632;765239;5407193;2053720;1163864;0;238804;2641;25645;31576100;1585093;2940;119750;129137;0;0;46543;46043;22068;27871;18671;1455904;0;21662;0;0;0;0;260666;0;0;0;0;0;0;-179247;197193;0;0;1458895;BEUVRY-LA-FORET;12;Société par actions simplifiée
333583755;FIMUREX CENTRE EST;33358375500033;2593Z;;;38690;01/07/1985;De 50 à 99 salariés;0;1683350;1929410;0;0;2017034;0;15606;374708;5504262;0;0;41528;92735;9975285;0;0;11658636;1146000;704413;487555;3728289;0;23380;0;0;11400;1384145;0;5492520;1018648;0;252;0;0;0;7906966;11658636;11400;37225401;32286;37257687;33917044;0;83194;37728044;0;0;24685433;-44875;6337367;360104;3149726;1294857;332552;0;27606;0;2563;36145336;1582708;21081;80982;80982;0;0;109440;82243;58639;837688;-728248;487555;87315;219688;66816;502614;55841;73444;246761;0;0;0;0;0;0;367383;19699;216482;181548;1522807;COLOMBE;12;Société par actions simplifiée
782439681;COOPERATIVE ALPESUD;78243968100167;4675Z;;;04310;01/01/1900;De 50 à 99 salariés;0;5403545;29353;0;0;0;2659146;2142;648702;3069314;0;0;373410;123202;6905268;0;0;12308813;141562;0;121066;7292142;0;176581;0;0;2017045;0;1832;1424714;727480;0;665756;0;0;3263;4840091;12308813;261209;18132927;538933;18671860;18412008;14750;402298;19104488;13606184;221417;64078;7768;1279142;219798;1901926;809970;288220;0;328591;101321;20687;18849101;255386;27171;113042;113042;0;0;6932;0;6600;25097;-18165;121066;0;30284;3066;226578;0;80685;235788;0;0;0;0;34177;0;0;0;78977;0;169515;PEYRUIS;12;Société coopérative agricole
602037640;CAMPING PRAIRIE DE LA MER / CAMPAZUR;60203764000029;5530Z;;;83310;01/01/1960;De 20 à 49 salariés;0;21347751;0;0;0;0;0;0;416635;681022;0;1085835;123998;153269;2460760;0;0;23808511;80512;0;5106529;15699387;0;0;0;0;3601382;2058567;1139248;493959;287723;0;523012;0;0;5233;8109124;23808511;0;18093140;0;18093140;17429320;0;272288;18365492;14605;0;1225;0;9757830;646753;1136205;322236;2155195;0;13143;0;7959;14055151;4310340;2316143;148473;238513;83613;39680;426975;0;0;267540;159435;5106529;0;1440876;32304;108506;0;89246;398668;0;0;0;0;0;0;0;0;0;0;6387971;GRIMAUD;12;Société anonyme à conseil d'administration
326816501;CLINIQUE CHIRURGICALE DE LA LOIRE;32681650100042;8610Z;"Jugement modifiant le plan de redressement
Jugement arrêtant le plan de sauvegarde
Dépôt de l'état des créances
Jugement d'ouverture d'une procédure de sauvegarde";"01/11/2009
08/10/2008
01/10/2008
16/03/2008";49400;09/03/1983;De 100 à 199 salariés;0;1239265;415111;0;0;0;0;0;1250873;615384;0;0;1283451;58744;3623566;0;0;4862831;213500;0;708088;2534170;0;14805;0;0;108069;0;18308;1070164;834397;5129;277784;0;;0;2313855;4862831;0;12993064;0;12993064;;90239;61469;13163442;-67750;0;3781220;-55311;3614422;522263;2926030;1113794;248414;0;33809;0;7139;12124033;1039409;24537;988;988;0;0;0;0;0;0;0;708088;120633;234237;35552;426211;0;37645;34516;0;0;0;0;2080047;0;0;0;39153;0;1062958;SAUMUR;12;Société anonyme à conseil d'administration
411458508;PHENOMENE;41145850800032;5911B;;;92150;20/02/1997;De 20 à 49 salariés;0;424614;0;0;45770;0;0;145898;2744077;402895;0;0;1695323;102128;5136091;0;0;5560704;100000;689166;426602;1225768;0;35000;0;0;791;1278799;0;1370586;1080282;0;46480;0;0;522999;4299937;5560704;0;13113069;1591222;14704291;13450372;3322;20914;14529302;0;0;0;0;10051661;186397;2437668;1207475;61821;0;0;0;267;13945288;584014;4663;12113;12137;0;2420;51585;0;35000;39205;12380;426602;0;162318;0;260761;0;588903;0;0;0;0;0;0;0;-200062;0;0;0;576540;SURESNES;12;Société par actions simplifiée
582005708;PILLER FRANCE SAS;58200570800042;4669A;;;92500;01/01/1900;De 20 à 49 salariés;0;256602;0;0;0;0;222685;868094;5442592;619873;0;0;471455;16445;7641144;0;781;7898527;160000;2652892;700672;3529565;0;112671;0;0;1700;0;588092;1912209;1181082;4645;0;0;0;568563;4256291;7898527;0;6802314;4662701;11465015;10496618;0;544351;12009598;5908692;-47008;46414;0;2682028;88938;1254739;615775;47474;0;368659;111890;27;11077628;931970;98237;0;30705;781;0;31357;0;0;25956;5401;700672;0;304231;136996;272566;84755;538979;0;0;0;0;0;0;0;0;0;0;0;999502;RUEIL-MALMAISON;12;Société par actions simplifiée
315080382;STE EXPLOIT ENTREP POTHELET;31508038200023;4312A;;;51530;01/01/1979;De 50 à 99 salariés;0;946837;207441;395047;0;0;0;0;2483175;353461;0;0;55331;49009;3543464;0;0;4490302;150000;0;219346;1928555;0;0;0;0;456977;17891;0;917082;782593;0;387204;0;0;0;2561747;4490302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42525;0;0;0;0;0;0;0;0;0;0;0;PIERRY;12;Société par actions simplifiée
