SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2016 (€);TOTAL (II) (net) (BJNET) 2016 (€);Matières premières, approvisionnements (net) (BLNET) 2016 (€);En cours de production de biens (net) (BNNET) 2016 (€);En cours de production de services (net) (BPNET) 2016 (€);Produits intermédiaires et finis (net) (BRNET) 2016 (€);Marchandises (net) (BTNET) 2016 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2016 (€);Clients et comptes rattachés (3) (net) (BXNET) 2016 (€);Autres créances (3) (net) (BZNET) 2016 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2016 (€);Valeurs mobilières de placement (net) (CDNET) 2016 (€);Disponibilités (net) (CFNET) 2016 (€);Charges constatées d'avance (3) (net) (CHNET) 2016 (€);TOTAL (III) (net) (CJNET) 2016 (€);Primes de remboursement des obligations (CM) 2016 (€);Ecarts de conversion actif (CN) 2016 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2016 (€);Capital social ou individuel (1) (DA) 2016 (€);Report à nouveau (DH) 2016 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2016 (€);TOTAL (I) (DL) 2016 (€);TOTAL(II) (DO) 2016 (€);TOTAL (III) (DR) 2016 (€);Autres emprunts obligataires (DT) 2016 (€);Emprunts obligataires convertibles (DS) 2016 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2016 (€);Emprunts et dettes financières divers (DV) 2016 (€);Avances et acomptes reçus sur commandes en cours (DW) 2016 (€);Dettes fournisseurs et comptes rattachés (DX) 2016 (€);Dettes fiscales et sociales (DY) 2016 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2016 (€);Autres dettes (EA) 2016 (€);dont comptes courants d'associés de l'exercice N (EA2) 2016 (€);Produits constatés d'avance (EB) 2016 (€);TOTAL (IV) (EC) 2016 (€);TOTAL GENERAL (I à V) (EE) 2016 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2016 (€);Chiffre d'affaires net (France) (FJ) 2016 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2016 (€);Chiffre d'affaires net (Total) (FL) 2016 (€);Subventions d'exploitation (FO) 2016 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2016 (€);Total des produits d'exploitation (2) (I) (FR) 2016 (€);Achats de marchandises (y compris droits de douane) (FS) 2016 (€);Variation de stock (marchandises) (FT) 2016 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2016 (€);Variation de stock (matières premières et approvisionnements) (FV) 2016 (€);Autres achats et charges externes (3) (6 bis) (FW) 2016 (€);Impôts, taxes et versements assimilés (FX) 2016 (€);Salaires et traitements (FY) 2016 (€);Charges sociales (10) (FZ) 2016 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2016 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2016 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2016 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2016 (€);Autres charges (12) (GE) 2016 (€);Total des charges d'exploitation (4) (II) (GF) 2016 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2016 (€);Total des produits financiers (V) (GP) 2016 (€);Intérêts et charges assimilées (GR) 2016 (€);Total des charges financières (VI) (GU) 2016 (€);Dotations financières aux amortissements et provisions (GQ) 2016 (€);Reprises sur provisions & transferts de charges (GM) 2016 (€);Total des produits exceptionnels (VII) (HD) 2016 (€);Reprises sur provisions & transferts de charges (HC) 2016 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2016 (€);Total des charges exceptionnelles (VIII) (HH) 2016 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2016 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2016 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2016 (€);Impôts sur les bénéfices (HK) 2016 (€);Clients douteux ou litigieux - Montant brut (VA) 2016 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2016 (€);Impôts sur les bénéfices - Montant brut (8E) 2016 (€);T.V.A. - Montant brut (VW) 2016 (€);Emprunts remboursés en cours d’exercice (VK) 2016 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2016 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2016 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2016 (€);Effets portés à l’escompte et non échus (YS) 2016 (€);Sous‐traitance (YT) 2016 (€);Effectif moyen du personnel (YP) 2016;Ecarts de conversion passif (V) (ED) 2016 (€);Production stockée (FM) 2016 (€);Production immobilisée (FN) 2016 (€);(3) Dont Crédit-bail mobilier (HP) 2016 (€);(3) Dont Crédit-bail immobilier (HQ) 2016 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2016 (€);Ville;Nombre de mois de l'exercice comptable 2016;Notation NOTA-PME 2016;Catégorie juridique (Niveau II)
344496252;AMADEUS;34449625200026;6201Z;;;06410;25/02/1988;De 2000 à 4999 salariés;0;1502370564;0;0;0;0;0;6120;217570197;21206943;0;0;475564;4169521;243428346;0;303150;1746102060;23035000;0;178145922;1482624377;0;35747282;0;0;3201;1578;0;85753464;134458829;25288;7272873;0;0;227515234;1746102060;0;0;0;1165888017;8750;8165040;1489899645;0;0;0;0;488607747;22870182;244189553;134507803;176413526;9452767;0;0;2117742;1078159320;411740325;2293496;0;2895710;303150;147038;158126466;157595555;285862267;285862267;-127735801;178145922;32084287;73172101;0;33659000;4281000;64000;0;0;0;0;0;0;0;215166;0;315837837;0;0;411138111;BIOT;12;8,2;Société par actions simplifiée
675580542;KUHN SAS;67558054200016;2830Z;;;67700;01/01/1955;De 1000 à 1999 salariés;0;69532423;29370381;6461331;0;14816895;1790281;4356247;101018161;47501987;0;43243107;118530374;0;367088764;0;952698;437573885;19488000;0;41660526;133523197;0;18739232;0;0;1605479;51971773;115717127;72593494;27835564;6245182;5031317;0;25085;281025022;437573885;0;187658221;409074775;596732996;4189;45397485;641584720;30692322;-15460;352071328;353482;119693577;5445810;50104391;19891253;7641095;0;10040475;9953366;484335;606355973;35228748;26162248;263094;7966764;1092305;3108004;3369014;2900329;2942132;3036143;332871;41660526;3891969;8204609;0;9172158;0;365811;2793554;0;0;0;0;0;0;4286434;-760932;0;0;0;53424232;SAVERNE;12;6,9;Société par actions simplifiée
539561035;QUALI-GRAINS NOURIEL 27;53956103500020;4621Z;;;27500;30/12/2011;De 10 à 19 salariés;0;627252;0;0;0;0;249439;0;276196;19700;0;0;70230;15512;631077;0;0;1258329;40000;0;3361;72213;0;0;0;0;495782;64866;319;525440;90030;0;9679;0;0;1186116;1258329;11654;2269429;0;2269429;0;0;2277086;1719418;-79156;0;0;302773;14913;222546;55673;19341;0;0;0;4356;2259864;17222;7253;20298;20298;0;0;2663;0;0;3946;-1283;3361;0;-467;11935;44078;0;19691;54347;0;0;0;0;0;0;0;0;0;0;0;4177;PONT-AUDEMER;10;3,6;Société à responsabilité limitée (SARL)
493391114;VIESSMANN FRANCE;49339111400011;4674B;;;57380;20/12/2006;De 250 à 499 salariés;0;19793492;2847;0;0;0;10854946;171320;33386369;10240484;0;0;9696561;628159;64980689;0;0;84774182;1700000;0;-1157704;21532161;0;5205150;0;0;2688;1657597;25863;43873876;9595746;0;2881097;0;0;58036871;84774182;0;178162687;0;178162687;200000;4417424;183188273;124175918;993170;479523;-285809;23414597;1673761;16118770;7222525;336808;0;1927765;3302673;280502;179640207;3548066;266565;91008;3091008;3000000;0;782736;546024;368164;1078074;-295338;-1157704;470903;1115086;0;1371601;0;2806932;0;0;0;0;0;0;0;0;0;0;0;1554174;723623;FAULQUEMONT;12;4,3;Société par actions simplifiée
487706046;SABENA TECHNICS BOD;48770604600025;3316Z;;;33700;26/12/2005;De 500 à 999 salariés;0;12011789;20658448;0;9716815;0;0;2552260;106210555;19412846;0;0;20135292;408882;179095101;0;138777;191245668;6820000;0;6437266;19438694;0;9098554;0;0;8958351;102000;71840634;31686349;21249968;0;7422784;0;21198931;162459018;191245668;0;105377291;50590895;155968187;221061;5276455;164467538;1947419;-184678;22056599;5367;75421675;4530729;32488843;12613337;2198622;0;2518450;3074362;2401729;159072460;5395078;1610452;162683;1404608;8;17540;1891852;1854794;439160;1144119;747732;6437266;0;-211880;0;0;0;0;0;0;0;0;0;0;0;249400;-2010309;190105;0;0;5600922;MERIGNAC;12;5,9;Société par actions simplifiée
522466572;SYNERCIEL SAS;52246657200040;7490B;;;92800;01/05/2010;De 50 à 99 salariés;0;190866;0;0;0;0;112996;0;1311164;459749;0;558007;3909360;139339;6490619;0;0;6681485;2641350;175535;105489;2937814;0;80000;0;0;0;0;0;1595992;1226082;0;24647;0;816948;3663671;6681485;0;14338888;0;14338888;1916;141185;14490404;0;-105575;0;0;8341775;205846;3992702;1848425;110561;0;0;0;67287;14461023;29381;12913;0;0;0;0;171899;140520;11260;82500;89399;105489;0;26204;0;399299;0;343367;0;0;0;0;0;735754;48;0;0;0;0;0;42294;PUTEAUX;18;6;Société par actions simplifiée
383463718;KOMATSU FRANCE;38346371800023;4663Z;;;78410;30/10/1991;De 100 à 199 salariés;0;2151458;0;112892;0;0;8269797;1568689;14857729;980553;0;3500266;17860;39721;29347508;0;0;31498966;5071723;3050698;382768;8981398;0;2001863;0;0;89835;0;44640;17198244;3120433;1456;50079;0;11019;20515705;31498966;0;65438040;2531664;67969703;9067;951850;71837711;58457990;-1870273;98019;0;6523639;544682;4016288;1884284;270329;0;740020;578929;66801;71310709;527002;119;8939;8951;0;0;0;0;0;27353;-27353;382768;0;108050;2782807;696063;0;1659421;3500000;0;0;0;0;0;72;0;-27300;0;0;0;518170;AUBERGENVILLE;12;4,6;Société par actions simplifiée
502095094;STHREE SAS / HUXLEY HUXLEY ASSOCIATES HR STAFF SEARCH;50209509400087;7022Z;;;75019;31/10/2007;De 100 à 199 salariés;0;100953;0;0;0;0;0;240674;19010599;1311108;0;0;368833;143991;21075206;0;0;21176160;6037000;-5227972;77483;1022136;0;505076;0;0;0;6415874;32889;9752950;2895238;0;551994;0;0;19648947;21176160;0;67389489;701012;68090501;0;493363;68583864;0;0;0;0;57082591;560443;7084640;3043133;93699;0;69376;505076;117994;68556955;26909;126015;35470;72304;0;0;0;0;0;3136;-3136;77483;0;0;183981;872593;0;584099;0;0;0;0;0;-57890;118;0;0;0;0;0;80619;PARIS 19;12;3,7;Société par actions simplifiée
414687921;CRODA FRANCE;41468792100034;4675Z;;;78180;02/12/1997;De 20 à 49 salariés;0;976024;0;0;0;0;8522;0;11271569;77577;0;0;888186;25590;12271444;0;0;13247468;750000;787386;648089;4573400;0;439438;0;0;0;2066769;0;4329411;1807225;0;31229;0;0;8234630;13247468;0;64469440;9894518;74363958;0;77459;74853522;66485439;89854;0;0;2376256;354161;2766449;1366151;33059;0;1334;199772;2332;73674807;1178715;7404;23590;33721;0;0;0;0;0;0;0;648089;0;504309;166939;165256;0;729458;0;0;0;0;0;388832;42;0;0;0;0;0;1152398;MONTIGNY-LE-BRETONNEUX;12;4,6;Société par actions simplifiée
325567832;IRRIJARDIN / IRRIJARDIN;32556783200069;4619A;;;31410;28/07/1982;De 50 à 99 salariés;0;5997611;23300;0;0;0;3262945;0;3574837;1915840;0;0;825132;270938;9872993;0;0;15870605;1000000;0;942280;6111181;0;15713;0;0;1256604;104996;107052;6638080;1202192;0;434782;0;0;9743710;15870605;0;40958013;0;40958013;14251;1156893;42267544;27707267;22163;247269;-14528;8762203;310581;2658151;964781;360714;0;127996;10915;48050;41205566;1061978;455240;121465;232833;87062;89517;437118;0;0;438446;-1328;942280;110335;230442;31597;326464;0;400279;0;0;0;0;0;0;0;0;0;150821;0;0;1284385;NOE;12;5;Société par actions simplifiée
