SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2016 (€);TOTAL (II) (net) (BJNET) 2016 (€);Matières premières, approvisionnements (net) (BLNET) 2016 (€);En cours de production de biens (net) (BNNET) 2016 (€);En cours de production de services (net) (BPNET) 2016 (€);Produits intermédiaires et finis (net) (BRNET) 2016 (€);Marchandises (net) (BTNET) 2016 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2016 (€);Clients et comptes rattachés (3) (net) (BXNET) 2016 (€);Autres créances (3) (net) (BZNET) 2016 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2016 (€);Valeurs mobilières de placement (net) (CDNET) 2016 (€);Disponibilités (net) (CFNET) 2016 (€);Charges constatées d'avance (3) (net) (CHNET) 2016 (€);TOTAL (III) (net) (CJNET) 2016 (€);Primes de remboursement des obligations (CM) 2016 (€);Ecarts de conversion actif (CN) 2016 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2016 (€);Capital social ou individuel (1) (DA) 2016 (€);Report à nouveau (DH) 2016 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2016 (€);TOTAL (I) (DL) 2016 (€);TOTAL(II) (DO) 2016 (€);TOTAL (III) (DR) 2016 (€);Autres emprunts obligataires (DT) 2016 (€);Emprunts obligataires convertibles (DS) 2016 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2016 (€);Emprunts et dettes financières divers (DV) 2016 (€);Avances et acomptes reçus sur commandes en cours (DW) 2016 (€);Dettes fournisseurs et comptes rattachés (DX) 2016 (€);Dettes fiscales et sociales (DY) 2016 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2016 (€);Autres dettes (EA) 2016 (€);dont comptes courants d'associés de l'exercice N (EA2) 2016 (€);Produits constatés d'avance (EB) 2016 (€);TOTAL (IV) (EC) 2016 (€);TOTAL GENERAL (I à V) (EE) 2016 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2016 (€);Chiffre d'affaires net (France) (FJ) 2016 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2016 (€);Chiffre d'affaires net (Total) (FL) 2016 (€);Subventions d'exploitation (FO) 2016 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2016 (€);Total des produits d'exploitation (2) (I) (FR) 2016 (€);Achats de marchandises (y compris droits de douane) (FS) 2016 (€);Variation de stock (marchandises) (FT) 2016 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2016 (€);Variation de stock (matières premières et approvisionnements) (FV) 2016 (€);Autres achats et charges externes (3) (6 bis) (FW) 2016 (€);Impôts, taxes et versements assimilés (FX) 2016 (€);Salaires et traitements (FY) 2016 (€);Charges sociales (10) (FZ) 2016 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2016 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2016 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2016 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2016 (€);Autres charges (12) (GE) 2016 (€);Total des charges d'exploitation (4) (II) (GF) 2016 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2016 (€);Total des produits financiers (V) (GP) 2016 (€);Intérêts et charges assimilées (GR) 2016 (€);Total des charges financières (VI) (GU) 2016 (€);Dotations financières aux amortissements et provisions (GQ) 2016 (€);Reprises sur provisions & transferts de charges (GM) 2016 (€);Total des produits exceptionnels (VII) (HD) 2016 (€);Reprises sur provisions & transferts de charges (HC) 2016 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2016 (€);Total des charges exceptionnelles (VIII) (HH) 2016 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2016 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2016 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2016 (€);Impôts sur les bénéfices (HK) 2016 (€);Clients douteux ou litigieux - Montant brut (VA) 2016 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2016 (€);Impôts sur les bénéfices - Montant brut (8E) 2016 (€);T.V.A. - Montant brut (VW) 2016 (€);Emprunts remboursés en cours d’exercice (VK) 2016 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2016 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2016 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2016 (€);Effets portés à l’escompte et non échus (YS) 2016 (€);Sous‐traitance (YT) 2016 (€);Effectif moyen du personnel (YP) 2016;Ecarts de conversion passif (V) (ED) 2016 (€);Production stockée (FM) 2016 (€);Production immobilisée (FN) 2016 (€);(3) Dont Crédit-bail mobilier (HP) 2016 (€);(3) Dont Crédit-bail immobilier (HQ) 2016 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2016 (€);Ville;Nombre de mois de l'exercice comptable 2016;Notation NOTA-PME 2016;Catégorie juridique (Niveau II)
315281113;SOC D'IMPORTATION LECLERC;31528111300052;4671Z;;;94200;01/01/1979;De 250 à 499 salariés;0;1149904697;7739488;0;0;0;238483108;0;525489137;26074431;0;7145310;297415088;46117631;1149904697;0;1;1206537710;1624125;0;4651237;124867895;0;9149757;0;0;31109697;619480;0;947496851;22411268;406986;9930083;0;0;1067779206;1206537710;31109697;0;0;9693247730;0;135176;9698640127;9435315540;-25774894;50358217;47913503;156914510;1547040;11959356;5120265;8446716;0;3691469;1795758;1352644;0;1493374;9575055;248467;974041;1;251761;13468920;13252589;0;18131578;-4662657;4651237;267507;585917;0;0;0;0;0;0;0;0;0;0;0;4740850;0;0;0;0;10167319;IVRY-SUR-SEINE;12;4,3;Société anonyme à directoire
488862368;GSE;48886236800039;7112B;;;84140;23/02/2006;De 200 à 249 salariés;0;140937;0;0;0;0;0;0;32199;28594;0;0;58227;318;119339;0;115;260391;88443;-22154;2432;69343;0;18461;0;0;0;0;0;69254;13554;0;0;0;35631;171769;260391;0;0;0;181820;0;0;181820;0;0;0;0;-157786;-1155;0;0;0;0;0;0;0;1898;0;0;0;0;0;0;0;0;0;0;-332;2432;-321;1724;0;0;0;0;0;0;0;0;0;0;0;818;0;0;0;0;0;AVIGNON;12;9,1;Société par actions simplifiée
302162623;STEELCASE SAS;30216262300920;3101Z;Autre jugement et ordonnance;02/12/2014;67300;01/01/1900;De 500 à 999 salariés;0;94026794;8662336;176625;0;118434;3770;158758;68756708;4683716;0;0;476972;568840;83606160;0;1182087;178815041;45439205;-66;19479841;94203011;0;23694766;0;0;6376;144062;2679275;25001185;27123722;0;5017625;0;0;59972245;178815045;6376;182617355;143131917;325749273;0;5188883;327121824;103227435;7214348;66256210;616929;62471724;3250030;38736166;14328612;4341576;0;623699;8137096;976413;310180238;16941586;12835662;532875;6954482;3351000;9745000;2765912;1621722;261872;2543611;222301;19479841;478315;3086907;0;0;0;0;0;0;0;0;0;0;0;945023;-3896262;0;0;0;22822766;SCHILTIGHEIM;12;;Société par actions simplifiée
398827337;FISHER SCIENTIFIC S.A.S.;39882733700021;4669B;;;67400;03/11/1994;De 250 à 499 salariés;0;135690385;48434;0;0;0;12791651;176507;21884457;3064103;0;0;2576437;170084;40711672;0;20079;176422137;150044489;-38999449;-6355660;108163348;0;547875;0;0;0;45434466;10311;12707953;4527273;0;4510122;0;333274;67523399;176422137;0;109204235;38230049;147434284;0;10693928;158128212;115293331;862109;239642;-48434;24560567;1443786;14110026;9393948;1177208;0;106302;10700;13575;167162760;-9034548;2748289;0;420325;0;0;351976;0;0;1053;350923;-6355660;0;0;0;1467139;60000;696547;0;0;0;0;0;0;0;187514;0;0;0;0;-6706584;ILLKIRCH-GRAFFENSTADEN;12;3,9;Société par actions simplifiée
421531252;NATURENVIE / LES JARDINS BIOLOGIQUES ET NATURELS JARDIN BIO JARDIN BIO EQUITABLE;42153125200029;4638B;;;17180;01/01/1999;De 250 à 499 salariés;0;9960362;3064492;0;0;10167863;0;1608383;20881934;11077699;0;504478;5030334;859362;53194547;0;1041;63155951;587900;0;9201158;27630591;0;1041;0;0;4211560;0;629427;20147671;5676021;89359;4764631;0;0;35518672;63155951;69062;128658315;3634161;132292476;0;823511;135637988;0;0;66239178;-309336;34606613;1395866;9880506;4660445;1903753;0;144580;0;617750;119139358;16498629;249537;31830;42699;1041;20663;2400600;0;0;3420399;-1019798;9201158;2056271;4428239;308659;2032629;0;184337;886302;0;0;0;0;0;0;5645;2433414;0;0;1414383;16705466;PERIGNY;12;7;Société par actions simplifiée
389031907;LOUDEAC VIANDES;38903190700014;1011Z;;;22600;28/09/1992;De 50 à 99 salariés;0;4011378;93827;0;0;519852;0;0;6801654;1074913;0;0;3605841;127175;12223262;0;0;16234640;1000000;0;1517700;7294717;0;0;0;0;312349;527760;0;4617124;2169884;79472;1233334;0;0;8939923;16234640;0;85320657;14607930;99928587;1000;12353;99949136;379;0;83600936;-2609;8562917;1367870;2733861;1163758;456912;0;21846;0;1005;97906874;2042261;0;14588;14588;0;0;381397;74228;187088;187492;193906;1517700;176119;527760;9562;441743;0;0;0;0;0;0;0;0;88;0;7185;0;0;0;2027673;LOUDEAC;12;5,6;Société par actions simplifiée
480703214;TOYOTOMI EUROPE;48070321400019;2550B;;;59264;25/01/2005;De 200 à 249 salariés;0;21047924;1293471;1120037;0;344108;0;1922;5422136;1075636;0;0;547913;186632;9991855;0;0;31039779;26000000;-11081662;-729418;14188920;0;207039;0;0;9700000;0;0;4527810;1598435;50068;767507;0;0;16643819;31039779;0;28377945;16697706;45075651;0;130257;45226803;0;0;25659318;-77535;7623760;430876;5670313;2407428;3280031;0;0;96332;1240602;46331124;-1104321;0;61331;64253;0;0;1110248;867632;0;671092;439156;-729418;0;0;0;0;0;0;0;0;0;0;0;0;163;0;20223;0;0;0;-1168574;ONNAING;12;;Société par actions simplifiée
392849618;NORD NEGOCE;39284961800021;4619A;;;62112;08/10/1993;De 6 à 9 salariés;0;2896592;0;0;0;0;4905935;170550;11621113;2669311;0;0;222111;79973;19668993;0;0;22565585;210690;0;223;435901;0;0;0;0;4718251;2258553;0;13476162;344342;0;1332377;0;0;22129684;22565585;4718251;67979833;0;67979833;0;140857;68120693;61415560;-962973;0;0;7244398;20765;170256;79523;106706;0;0;0;3923;68078158;42535;59349;97846;97846;0;0;242;162;0;0;242;223;0;0;0;16565;0;307538;0;0;0;0;0;0;0;0;0;0;0;0;-20;GOUY-SOUS-BELLONNE;12;3;Société anonyme à conseil d'administration
342696317;FINSA FRANCE SAS / MEDILAND;34269631700011;4673A;;;40110;14/09/1987;De 50 à 99 salariés;0;3532378;2274093;196281;0;2119191;340621;0;1032722;9397552;0;0;43845;12235;15416543;0;10;18948932;2229240;-10395;418646;4170672;11117;30000;0;0;1034;6289662;42281;6398325;1178736;67936;759061;0;0;14737038;18948932;1034;63128621;0;63128621;61734;182213;64249808;31136072;-22423;15352565;836774;9952938;525499;3383937;1357591;557949;0;167099;0;-31;63247974;1001834;229430;756334;777500;0;0;26021;0;0;29138;-3116;418646;0;32002;188688;510314;0;191547;0;0;0;0;0;0;96;104;868922;8316;0;0;453764;MORCENX-LA-NOUVELLE;12;4,9;Société par actions simplifiée
501340376;ALPHAGLASS / ALPHAGLASS;50134037600026;2313Z;;;62510;27/11/2007;De 250 à 499 salariés;0;21680622;2353251;0;0;0;0;0;15554048;2258271;0;0;706932;243477;21115978;0;0;42796601;6000000;8257210;2039303;23665271;0;0;0;0;0;0;0;8794891;4709814;623796;4707666;0;295163;19131330;42796601;0;61137935;0;61137935;1800;92002;61549323;0;0;18075466;-143138;15888405;2076508;12456700;4757547;5794509;0;0;0;110175;59016172;2533151;6872;70214;70214;0;0;1543469;1177037;343666;1208118;335351;2039303;120999;644858;0;1885683;0;14503;0;0;0;0;0;0;0;0;0;0;1368476;1836094;2469809;ARQUES;12;6,2;Société par actions simplifiée
