SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2018 (€);TOTAL (II) (net) (BJNET) 2018 (€);Matières premières, approvisionnements (net) (BLNET) 2018 (€);En cours de production de biens (net) (BNNET) 2018 (€);En cours de production de services (net) (BPNET) 2018 (€);Produits intermédiaires et finis (net) (BRNET) 2018 (€);Marchandises (net) (BTNET) 2018 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2018 (€);Clients et comptes rattachés (3) (net) (BXNET) 2018 (€);Autres créances (3) (net) (BZNET) 2018 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2018 (€);Valeurs mobilières de placement (net) (CDNET) 2018 (€);Disponibilités (net) (CFNET) 2018 (€);Charges constatées d'avance (3) (net) (CHNET) 2018 (€);TOTAL (III) (net) (CJNET) 2018 (€);Primes de remboursement des obligations (CM) 2018 (€);Ecarts de conversion actif (CN) 2018 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2018 (€);Capital social ou individuel (1) (DA) 2018 (€);Report à nouveau (DH) 2018 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2018 (€);TOTAL (I) (DL) 2018 (€);TOTAL(II) (DO) 2018 (€);TOTAL (III) (DR) 2018 (€);Autres emprunts obligataires (DT) 2018 (€);Emprunts obligataires convertibles (DS) 2018 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2018 (€);Emprunts et dettes financières divers (DV) 2018 (€);Avances et acomptes reçus sur commandes en cours (DW) 2018 (€);Dettes fournisseurs et comptes rattachés (DX) 2018 (€);Dettes fiscales et sociales (DY) 2018 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2018 (€);Autres dettes (EA) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2017 (€);Produits constatés d'avance (EB) 2018 (€);TOTAL (IV) (EC) 2018 (€);TOTAL GENERAL (I à V) (EE) 2018 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2018 (€);Chiffre d'affaires net (France) (FJ) 2018 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2018 (€);Chiffre d'affaires net (Total) (FL) 2018 (€);Chiffre d'affaires net (Total) (FL) 2017 (€);Subventions d'exploitation (FO) 2018 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2018 (€);Total des produits d'exploitation (2) (I) (FR) 2018 (€);Achats de marchandises (y compris droits de douane) (FS) 2018 (€);Variation de stock (marchandises) (FT) 2018 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2018 (€);Variation de stock (matières premières et approvisionnements) (FV) 2018 (€);Autres achats et charges externes (3) (6 bis) (FW) 2018 (€);Impôts, taxes et versements assimilés (FX) 2018 (€);Salaires et traitements (FY) 2018 (€);Charges sociales (10) (FZ) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2018 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2018 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2018 (€);Autres charges (12) (GE) 2018 (€);Total des charges d'exploitation (4) (II) (GF) 2018 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2018 (€);Total des produits financiers (V) (GP) 2018 (€);Intérêts et charges assimilées (GR) 2018 (€);Total des charges financières (VI) (GU) 2018 (€);Dotations financières aux amortissements et provisions (GQ) 2018 (€);Reprises sur provisions & transferts de charges (GM) 2018 (€);Total des produits exceptionnels (VII) (HD) 2018 (€);Reprises sur provisions & transferts de charges (HC) 2018 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2018 (€);Total des charges exceptionnelles (VIII) (HH) 2018 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2018 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2018 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2018 (€);Impôts sur les bénéfices (HK) 2018 (€);Clients douteux ou litigieux - Montant brut (VA) 2018 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2018 (€);Impôts sur les bénéfices - Montant brut (8E) 2018 (€);T.V.A. - Montant brut (VW) 2018 (€);Emprunts remboursés en cours d’exercice (VK) 2018 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2018 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2018 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2018 (€);Effets portés à l’escompte et non échus (YS) 2018 (€);Sous‐traitance (YT) 2018 (€);Ecarts de conversion passif (V) (ED) 2018 (€);Production stockée (FM) 2018 (€);Production immobilisée (FN) 2018 (€);(3) Dont Crédit-bail mobilier (HP) 2018 (€);(3) Dont Crédit-bail immobilier (HQ) 2018 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2018 (€);Ville;Nombre de mois de l'exercice comptable 2018;Catégorie juridique (Niveau II)
400273116;ALBEA COSMETICS SERVICES S.A.S.;40027311600048;4669B;;;92230;10/02/1995;De 100 à 199 salariés;0;13987875;1197374;0;0;0;7269468;650;14397186;14259832;0;0;17134;7966;37149610;0;0;51137485;14110000;1473509;2071393;19798999;0;1830075;0;0;1353466;0;99870;9471059;4997328;0;13569666;0;0;0;29491390;51137485;1042;79391014;0;79391014;84033733;9333;669066;81121177;44667240;13473244;9221465;-12186681;7384004;555760;8457348;3378033;14087;0;607745;147920;1408628;77128794;3992383;825853;369526;1451635;167679;213510;98989;0;170000;170000;-71011;2071393;166359;1057838;1664;2169029;0;584015;0;0;0;0;0;0;17020;-147260;0;0;0;3366601;GENNEVILLIERS;12;Société par actions simplifiée
478502222;MISS NUMERIQUE;47850222200027;4791B;;;54140;02/08/2004;De 20 à 49 salariés;0;386818;0;0;0;0;2782272;0;418810;1658021;0;40325;1203782;172774;6275987;0;0;6662805;500000;2846108;207720;3632981;0;0;0;0;908777;0;109023;1782174;226951;0;2898;0;0;0;3029824;6662805;5289;16038704;3246911;19285615;18194911;0;45505;19332027;15069624;-49657;51859;0;2431739;166309;960267;340711;50241;0;58603;0;24379;19104080;227947;113892;14955;43226;0;0;5751;0;0;15147;-9396;207720;0;81496;679;54700;0;45878;0;0;0;0;0;0;0;0;0;0;0;298612;JARVILLE-LA-MALGRANGE;12;Société par actions simplifiée
309383065;EUROVIANDE SERVICE;30938306500062;1011Z;;;49480;31/12/1984;De 250 à 499 salariés;0;31289;23030;0;0;0;0;0;734883;5087622;0;0;675049;32460;6553044;0;0;6584333;800000;-635167;1009133;1173966;0;138283;0;0;0;350000;0;1165577;3748978;0;7529;0;;0;5272084;6584333;0;20268930;0;20268930;;25000;424465;20725082;0;0;80728;19343;5843475;488307;10113092;4008490;3727;0;0;18450;529;20576142;148940;32;14711;14711;0;0;880438;410917;0;5566;874872;1009133;0;0;0;743645;8825;714178;0;0;0;0;0;151010;0;0;0;0;0;134261;VERRIERES-EN-ANJOU;12;Société anonyme à conseil d'administration
330792789;ALTAVIA NANTES;33079278900043;7311Z;;;44200;15/10/1984;De 50 à 99 salariés;0;231854;46912;873265;0;0;0;17300;3738704;768850;0;0;1406404;35307;6886742;0;0;7118596;464000;125866;1138108;2412414;0;723926;0;0;641;291124;0;1787687;1413566;0;138597;0;0;350642;3982256;7118596;0;16289503;372775;16662278;16331147;0;68731;17202110;0;0;1600077;-7641;9830917;213075;2867269;1188880;127183;0;30116;6323;24666;15880865;1321245;2000;3518;3518;0;0;0;0;0;35;-35;1138108;179940;1644;45839;407130;0;399517;0;0;0;0;0;0;0;465573;0;0;0;1319727;NANTES;12;Société par actions simplifiée
507759611;SOCOTEC MONITORING FRANCE / CEMENTYS;50775961100050;7112B;;;78280;01/08/2008;De 50 à 99 salariés;0;1694877;0;0;0;0;305566;1090;2382618;1162915;0;0;1010927;8758;4871874;0;0;6566752;40000;1792599;527096;2363695;0;0;0;0;1075907;0;38631;1150555;439043;0;355361;0;0;1143560;4203057;6566752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241069;0;102606;128345;0;0;0;0;0;0;0;0;0;0;0;GUYANCOURT;12;Société par actions simplifiée
778133835;ETS PENPENIC;77813383500026;2363Z;;;56250;01/01/1973;De 20 à 49 salariés;0;1752584;52354;0;0;497343;685008;26400;2526539;526563;0;406545;892023;7385;5620160;0;0;7372744;100000;0;518458;2725293;0;0;0;0;1472987;852985;0;1496594;323186;0;501699;0;0;0;4647451;7372744;0;11394203;0;11394203;10624475;0;127581;11641517;6424403;-32446;506864;-12468;1738471;173104;1189316;412985;506010;0;31081;0;65376;11002696;638821;73326;27417;47684;20267;0;17134;0;0;4993;12141;518458;0;158146;69309;114696;0;75384;517046;0;0;0;0;0;0;31980;87753;0;0;664463;TREFFLEAN;12;Société par actions simplifiée
351309984;OBIOU SOCIETE D'ELECTRONIQUE;35130998400018;2612Z;;;38970;03/07/1989;De 50 à 99 salariés;0;747407;1987606;617249;0;0;0;90;1236491;186460;0;0;214279;67658;4309833;0;0;5057239;136768;0;512905;2316224;0;0;0;0;288234;52839;72487;1263570;1043712;0;20174;0;0;0;2741015;5057239;0;9954441;1345008;11299449;9314122;0;303859;11739852;0;0;6096891;-433244;1116957;157097;2723663;1046672;145420;0;36687;0;55947;10946089;793763;13901;23009;38344;0;0;39287;0;0;300;38987;512905;95986;199416;4077;270853;161554;70521;145240;0;0;0;0;0;0;136483;0;0;90000;769320;CORPS;12;Société par actions simplifiée
323426676;LES TERREAUX ARMORICAINS / FLORENTAISE PRO;32342667600025;0891Z;;;29530;01/01/1982;De 10 à 19 salariés;0;474276;367105;0;0;148081;0;0;1854533;1153987;0;0;623767;5747;4153221;0;0;4627497;200000;0;62653;1111113;0;0;0;0;1347449;0;0;1728560;228543;0;211544;0;0;0;3516096;4627497;1290330;7703647;491857;8195504;8418077;0;36023;8228773;0;0;4694515;109328;2274915;56138;620703;219243;135051;0;206;0;43622;8153721;75052;13396;13364;13364;0;348;377640;0;0;379115;-1475;62653;0;10955;112245;79936;0;48266;0;0;0;0;0;0;287;-3611;0;0;0;75084;PLONEVEZ-DU-FAOU;12;Société par actions simplifiée
451166722;BRUGG TUBES;45116672200020;4690Z;;;69780;01/12/2003;De 10 à 19 salariés;0;182801;0;0;0;0;658463;0;3376670;1077640;0;0;488604;21146;5622523;0;0;5805324;224000;0;106598;1009400;0;42500;0;0;0;1003300;1100728;2253187;279792;0;116417;0;0;0;4753424;5805324;0;8157117;2630405;10787522;9232463;0;263318;11050862;8525171;-102747;37;0;1395957;36068;603352;254169;43690;0;0;0;62185;10817883;232980;1228;38973;38998;0;0;59623;0;0;102348;-42724;106598;0;45888;7019;76419;0;52249;0;0;0;0;0;0;0;0;0;0;0;195210;SAINT-PIERRE-DE-CHANDIEU;12;Société par actions simplifiée
431787670;AMS;43178767000014;2550B;;;68800;01/07/2000;De 50 à 99 salariés;0;4098191;501903;408279;0;0;0;0;2018789;483585;0;0;709176;4020;4125753;0;0;8223945;275000;1293;643652;3967448;0;15243;0;0;1621873;0;0;1101292;828440;0;689647;0;0;0;4241253;8223945;0;10301964;275;10302240;9338472;0;101218;10359761;981;0;3207637;74597;3120142;149472;1701468;629834;556610;0;3876;0;1462;9446083;913678;2656;16468;16468;0;0;70000;0;0;3194;66805;643652;113881;209138;600;316896;155140;12300;459243;0;0;0;0;805468;0;-43701;0;0;0;899866;THANN;12;Société par actions simplifiée
