SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2016 (€);TOTAL (II) (net) (BJNET) 2016 (€);Matières premières, approvisionnements (net) (BLNET) 2016 (€);En cours de production de biens (net) (BNNET) 2016 (€);En cours de production de services (net) (BPNET) 2016 (€);Produits intermédiaires et finis (net) (BRNET) 2016 (€);Marchandises (net) (BTNET) 2016 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2016 (€);Clients et comptes rattachés (3) (net) (BXNET) 2016 (€);Autres créances (3) (net) (BZNET) 2016 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2016 (€);Valeurs mobilières de placement (net) (CDNET) 2016 (€);Disponibilités (net) (CFNET) 2016 (€);Charges constatées d'avance (3) (net) (CHNET) 2016 (€);TOTAL (III) (net) (CJNET) 2016 (€);Primes de remboursement des obligations (CM) 2016 (€);Ecarts de conversion actif (CN) 2016 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2016 (€);Capital social ou individuel (1) (DA) 2016 (€);Report à nouveau (DH) 2016 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2016 (€);TOTAL (I) (DL) 2016 (€);TOTAL(II) (DO) 2016 (€);TOTAL (III) (DR) 2016 (€);Autres emprunts obligataires (DT) 2016 (€);Emprunts obligataires convertibles (DS) 2016 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2016 (€);Emprunts et dettes financières divers (DV) 2016 (€);Avances et acomptes reçus sur commandes en cours (DW) 2016 (€);Dettes fournisseurs et comptes rattachés (DX) 2016 (€);Dettes fiscales et sociales (DY) 2016 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2016 (€);Autres dettes (EA) 2016 (€);dont comptes courants d'associés de l'exercice N (EA2) 2016 (€);Produits constatés d'avance (EB) 2016 (€);TOTAL (IV) (EC) 2016 (€);TOTAL GENERAL (I à V) (EE) 2016 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2016 (€);Chiffre d'affaires net (France) (FJ) 2016 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2016 (€);Chiffre d'affaires net (Total) (FL) 2016 (€);Subventions d'exploitation (FO) 2016 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2016 (€);Total des produits d'exploitation (2) (I) (FR) 2016 (€);Achats de marchandises (y compris droits de douane) (FS) 2016 (€);Variation de stock (marchandises) (FT) 2016 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2016 (€);Variation de stock (matières premières et approvisionnements) (FV) 2016 (€);Autres achats et charges externes (3) (6 bis) (FW) 2016 (€);Impôts, taxes et versements assimilés (FX) 2016 (€);Salaires et traitements (FY) 2016 (€);Charges sociales (10) (FZ) 2016 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2016 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2016 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2016 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2016 (€);Autres charges (12) (GE) 2016 (€);Total des charges d'exploitation (4) (II) (GF) 2016 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2016 (€);Total des produits financiers (V) (GP) 2016 (€);Intérêts et charges assimilées (GR) 2016 (€);Total des charges financières (VI) (GU) 2016 (€);Dotations financières aux amortissements et provisions (GQ) 2016 (€);Reprises sur provisions & transferts de charges (GM) 2016 (€);Total des produits exceptionnels (VII) (HD) 2016 (€);Reprises sur provisions & transferts de charges (HC) 2016 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2016 (€);Total des charges exceptionnelles (VIII) (HH) 2016 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2016 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2016 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2016 (€);Impôts sur les bénéfices (HK) 2016 (€);Clients douteux ou litigieux - Montant brut (VA) 2016 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2016 (€);Impôts sur les bénéfices - Montant brut (8E) 2016 (€);T.V.A. - Montant brut (VW) 2016 (€);Emprunts remboursés en cours d’exercice (VK) 2016 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2016 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2016 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2016 (€);Effets portés à l’escompte et non échus (YS) 2016 (€);Sous‐traitance (YT) 2016 (€);Effectif moyen du personnel (YP) 2016;Ecarts de conversion passif (V) (ED) 2016 (€);Production stockée (FM) 2016 (€);Production immobilisée (FN) 2016 (€);(3) Dont Crédit-bail mobilier (HP) 2016 (€);(3) Dont Crédit-bail immobilier (HQ) 2016 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2016 (€);Ville;Nombre de mois de l'exercice comptable 2016;Notation NOTA-PME 2016;Catégorie juridique (Niveau II)
317358380;AGCO S.A.S.;31735838000028;2830Z;;;60000;01/01/1979;De 1000 à 1999 salariés;0;63298693;23242718;0;0;1121372;0;872825;27742281;407190752;0;0;294280;1508978;461973205;0;141591;525413490;68434805;0;18684716;329527410;0;2916772;0;0;0;0;0;124218542;26700318;0;41835088;0;0;192753947;525413490;0;741611130;0;741611130;162301;3511509;743257347;24619150;0;512488959;4348798;76650189;8202433;52553459;21808072;15101038;0;3756817;210472;0;719739387;23517960;7673087;3800237;5357189;141591;49939;90671;0;0;5443;85228;18684716;759499;6474872;1285181;8247686;0;4206551;0;0;0;0;0;0;1332;215360;-2586437;0;0;0;25833858;BEAUVAIS;12;6,2;Société par actions simplifiée
327127247;GPDIS FRANCE / GPDIS SUD OUEST;32712724700200;4643Z;"Dépôt de l'état des créances
Dépôt de l'état des créances
Dépôt de l'état des créances
Jugement arrêtant le plan de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde";"15/10/2021
17/09/2021
06/08/2021
26/12/2020
10/04/2020";31620;01/04/1983;De 250 à 499 salariés;0;17442934;0;0;0;0;53017940;0;54768763;16629159;0;31857;11480136;5378271;141306126;0;0;158749060;16764900;0;2792966;75929730;0;1692092;0;0;3302951;26898002;0;39766139;8022611;0;2551125;0;586409;81127238;158749060;2875887;416932370;0;416932370;0;3266227;420809592;332695355;3279460;348943;0;48672028;2548396;17502823;6319166;2662840;270119;983017;1135548;1652465;418070160;2739433;2294509;799114;810987;11873;0;268934;73452;61745;349281;-80347;2792966;0;1357384;2559647;2491459;1016280;2130649;5378573;0;0;0;0;0;0;0;0;420195;13936;0;4230697;VILLENEUVE-LES-BOULOC;12;4,6;Société par actions simplifiée
350972030;DEFENSE CONSEIL INTERNATIONAL SCES ASSIS;35097203000042;8559A;;;75015;01/06/1989;De 250 à 499 salariés;0;3833885;0;0;6277718;0;0;211557;68423056;707488;0;4108384;8496399;26812224;115036825;0;267353;119138063;10050000;33992290;770599;45817929;0;809912;0;0;1447384;71350;6083057;24436488;3430420;12811;35915209;0;715771;72112490;119138063;0;0;88094746;88094746;0;229543;93341846;2667;48789;0;0;60494879;1046278;27721871;4103858;517678;0;0;0;44;93936064;-594218;3091773;116259;764294;267353;50105;0;0;236793;331058;-331058;770599;0;631604;0;0;0;0;0;0;0;0;0;0;0;397732;4382186;0;0;0;1733261;PARIS 15;12;4,3;Société par actions simplifiée
439694068;JORIS IDE AUVERGNE;43969406800016;2433Z;;;43410;07/01/2002;De 50 à 99 salariés;0;998936;3008011;495643;0;1017586;153795;0;11241872;292719;0;0;3235504;15474;19460604;0;0;20459540;270000;-631869;2269077;1921333;0;676818;0;0;0;0;0;14673747;1532761;0;1654881;0;0;17861389;20459540;0;52842376;0;52842376;1183;577991;54142764;25022950;2269;17477096;-1026216;4751307;318324;2675995;1214825;357417;0;216169;175226;134283;51319644;2823120;1124;62048;63048;0;0;123234;100000;0;190238;-67003;2269077;110215;314901;0;0;0;0;0;0;0;0;0;0;0;0;577637;0;0;0;2761196;LEMPDES-SUR-ALLAGNON;12;6,5;Société par actions simplifiée
971502869;AC MARCA IDEAL;97150286900037;4644Z;;;69120;01/01/1971;De 100 à 199 salariés;0;6131356;646480;0;0;5047650;98176;4051;12846812;823395;0;0;629;86236;19553432;0;0;25684788;2008800;1623452;2303275;7548865;0;255101;0;0;4145572;0;0;9849430;2590844;0;1294974;0;0;17880822;25684788;0;53908079;3180938;57089017;0;731054;58621327;26996492;-103799;3292027;-40049;17664630;528207;3758626;1843906;555848;0;282491;117773;138810;55034967;3586359;69;71922;71922;0;0;196669;722;47507;67655;129013;2303275;338995;1001250;23387;563859;183838;772068;793535;0;0;0;0;0;0;0;718764;0;71114;0;3514506;VAULX-EN-VELIN;12;5,4;Société par actions simplifiée
306986027;NEUDIS LECLERC / CENTRE LECLERC;30698602700028;4711F;;;69730;01/01/1976;De 100 à 199 salariés;0;10310899;0;0;0;0;4274279;0;98324;4398213;0;0;4680219;200163;13651199;0;0;23962098;921200;0;1186433;11057753;0;213560;0;0;6391763;55557;0;4222341;1879923;6332;134865;0;0;12690785;23962099;977;55777903;0;55777903;0;317075;56241571;45237920;-581429;15891;0;3006748;745057;4206382;1563294;353970;0;196668;0;57912;54802417;1439153;47953;89212;89212;0;0;837151;427387;42000;678721;158430;1186433;269747;100144;0;1879924;0;0;1260197;0;0;0;0;0;207;0;0;0;0;0;1397894;GENAY;12;;Société par actions simplifiée
347892093;GRAPHIC PACKAGING INTERNATIONAL FRANCE;34789209300043;1721B;;;59241;01/08/1988;De 100 à 199 salariés;0;8104410;2995299;497312;0;4230722;0;0;14336026;752730;0;0;8402;1258513;24079007;0;0;32183417;4900000;-13688691;1459520;-1584794;0;197245;0;0;59953;19720494;0;11206849;1764896;488325;218625;0;111822;33570967;32183417;59953;37708248;18035145;55743393;0;474630;55641740;20157151;0;16477590;1551844;6779131;477117;3893563;1870347;1896471;0;60572;0;683478;53847269;1794471;340624;458928;502033;0;0;160384;89772;145483;330757;-170372;1459520;0;3169;30570;545471;0;384476;0;0;0;0;0;0;0;0;-588619;0;0;0;1633062;MASNIERES;12;3,8;Société anonyme à conseil d'administration
672031739;KORN FERRY (FR) / HAY MANAGEMENT CONSULTANT FRANCE;67203173900218;7830Z;;;75008;01/01/1900;De 100 à 199 salariés;0;1229254;0;0;0;0;0;0;7706749;3584224;0;0;1203255;66365;12560593;0;21990;13811838;2012179;-2439398;-1693150;-1328528;0;1558708;0;0;0;97285;26275;596046;3773164;0;6591370;0;2443068;13527207;13811838;0;0;0;20124791;0;503910;20631754;0;0;0;0;8371646;635337;8309079;3619205;1329861;0;0;0;2304;22267431;-1635677;46821;17989;94640;21990;454;840;0;0;10494;-9654;-1693150;0;0;0;964718;0;1546151;0;0;0;0;0;0;88;54451;0;0;0;0;-1683496;PARIS 8;12;2,6;Société à responsabilité limitée (SARL)
382547289;DPL;38254728900035;4511Z;;;77210;01/07/1991;De 100 à 199 salariés;0;7463239;0;0;0;0;0;0;93900;1732035;0;0;235474;0;2061409;0;0;9524648;3500000;0;248005;8147706;0;0;0;0;199927;1063216;0;34510;73047;0;6240;0;0;1376942;9524648;0;741510;0;741510;0;2880;744391;0;0;0;0;355068;10545;280630;112675;12287;0;108976;0;2;880185;-135793;131886;31976;31976;0;0;56518;0;0;6250;50268;248005;0;-233621;0;0;0;0;1300154;0;0;0;0;0;0;0;0;0;0;0;-35883;AVON;12;6,2;Société par actions simplifiée
523846905;SAS CAP SUD;52384690500025;4711F;;;36250;13/07/2010;De 100 à 199 salariés;0;1769708;3527;0;0;0;2662154;0;267302;1388566;0;0;260917;115806;4698271;0;0;6467979;10000;-2882885;11787;-2861099;0;0;0;0;4223975;1424834;0;2282064;538374;688640;171191;0;0;9329078;6467979;1694439;31198162;0;31198162;0;231159;31453440;24680736;-242640;46471;243;3244512;454329;2249195;536322;321214;0;451;0;10713;31301546;151894;272;136574;136574;0;0;5750;0;6667;11822;-6072;11787;0;-2267;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;15592;SAINT-MAUR;12;2,3;Société par actions simplifiée
