SIREN;Dénomination;Code APE;Adresse;Code postal;Tranche effectifs;SIRET;Date de création;TOTAL (II) (net) (BJNET) 2018 (€);TOTAL (II) (net) (BJNET) 2016 (€);Clients et comptes rattachés (3) (net) (BXNET) 2018 (€);Clients et comptes rattachés (3) (net) (BXNET) 2016 (€);Autres créances (3) (net) (BZNET) 2018 (€);Autres créances (3) (net) (BZNET) 2016 (€);Valeurs mobilières de placement (net) (CDNET) 2018 (€);Valeurs mobilières de placement (net) (CDNET) 2016 (€);Disponibilités (net) (CFNET) 2018 (€);Disponibilités (net) (CFNET) 2016 (€);TOTAL (III) (net) (CJNET) 2018 (€);TOTAL (III) (net) (CJNET) 2016 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2018 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2016 (€);Capital social ou individuel (1) (DA) 2018 (€);Capital social ou individuel (1) (DA) 2016 (€);Report à nouveau (DH) 2018 (€);Report à nouveau (DH) 2016 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2018 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2016 (€);TOTAL (I) (DL) 2018 (€);TOTAL (I) (DL) 2016 (€);TOTAL(II) (DO) 2018 (€);TOTAL(II) (DO) 2016 (€);TOTAL (III) (DR) 2018 (€);TOTAL (III) (DR) 2016 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2018 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2016 (€);Dettes fournisseurs et comptes rattachés (DX) 2018 (€);Dettes fournisseurs et comptes rattachés (DX) 2016 (€);Dettes fiscales et sociales (DY) 2018 (€);Dettes fiscales et sociales (DY) 2016 (€);dont comptes courants d'associés de l'exercice N (EA2) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2016 (€);Produits constatés d'avance (EB) 2018 (€);Produits constatés d'avance (EB) 2016 (€);TOTAL (IV) (EC) 2018 (€);TOTAL (IV) (EC) 2016 (€);Emprunts obligataires convertibles (DS) 2018 (€);Emprunts obligataires convertibles (DS) 2016 (€);Autres emprunts obligataires (DT) 2018 (€);Autres emprunts obligataires (DT) 2016 (€);Emprunts et dettes financières divers (DV) 2018 (€);Emprunts et dettes financières divers (DV) 2016 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2018 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2016 (€);TOTAL GENERAL (I à V) (EE) 2018 (€);TOTAL GENERAL (I à V) (EE) 2016 (€);Chiffre d'affaires net (France) (FJ) 2018 (€);Chiffre d'affaires net (France) (FJ) 2016 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2018 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2016 (€);Salaires et traitements (FY) 2018 (€);Salaires et traitements (FY) 2016 (€);Intérêts et charges assimilées (GR) 2018 (€);Intérêts et charges assimilées (GR) 2016 (€);Crédit client 2018 (j);Crédit client 2016 (j);Crédit fournisseurs 2018 (j);Crédit fournisseurs 2016 (j);Rotation des stocks 2018 (j);Rotation des stocks 2016 (j);BFR 2018 (€);BFR 2016 (€);Fonds de roulement net global 2018 (€);Fonds de roulement net global 2016 (€);BFRE 2018 (€);BFRE 2016 (€);CA par employé 2018 (€);CA par employé 2016 (€);Liquidité générale 2018;Liquidité générale 2016;Liquidité réduite 2018;Liquidité réduite 2016;CAF 2018;CAF 2016;Autonomie financière 2018;Autonomie financière 2016;MARGE COMMERCIALE  2018 (€);MARGE COMMERCIALE  2016 (€);PRODUCTION DE L'EXERCICE 2018 (€);PRODUCTION DE L'EXERCICE 2016 (€);VALEUR AJOUTEE 2018 (€);VALEUR AJOUTEE 2016 (€);EBE ( EXCEDENT BRUT D'EXPLOITATION ) 2018 (€);EBE ( EXCEDENT BRUT D'EXPLOITATION ) 2016 (€);Charges de personnel 2018 (€);Charges de personnel 2016 (€);RESULTAT D'EXPLOITATION 2018 (€);RESULTAT D'EXPLOITATION 2016 (€);RESULTAT COURANT AVANT IMPOTS 2018 (€);RESULTAT COURANT AVANT IMPOTS 2016 (€);Produits financiers 2018 (€);Produits financiers 2016 (€)
508196904;THOMAS COOK BROK AIR SERVICES;7990Z;92 BD VICTOR HUGO;92110;0 salarié à la fin de l'année;50819690400017;23/09/2008;378474;378550;10014794;406001;3279753;10918321;0;0;614947;345786;15612408;12624479;15990881;13003029;8000000;8000000;-402908;-402907;962384;532823;9359631;8930147;0;0;146050;130406;0;339;4986717;3012505;637434;420434;0;0;257;0;6485200;3942476;0;0;0;0;0;0;0;339;15990881;13003029;79532001;56134082;140618;907075;830379;887816;10801;-1;38,2335430486267;2,16496258716024;19,665900238043;16,6223491179299;0;0;8512262;8336556;9127208;8682343;5229572;-2623964;0;0;2,40699361690513;3,19146647944084;2,40699361690513;3,19146647944084;983693;553350;58,5310527919006;68,6774366188063;0;0;79672619;57041157;2544541;1916361;1356558;606157;1170192;1306040;1449997;576807;1439057;576849;-139;41
414870121;EUROFOIL FRANCE;2442Z;LE MOULIN A PAPIER;27250;De 100 à 199 salariés;41487012100046;16/12/1997;14055924;18074489;11625430;9613846;2715479;2282456;0;0;1861111;4392158;31552111;31927250;45636105;50070074;13154935;35050000;-1852464;-28722072;-3405000;-2683619;7897471;13052906;0;0;5272042;6029895;0;0;13237569;13848043;5802543;6821100;0;0;0;0;32447260;30953955;0;0;0;0;12587304;9728034;0;0;45636105;50070074;0;9436478;0;59231222;7344648;7619514;848131;628787;41,974847220818;42,5849678354355;56,8809392758972;77,2653163264195;61,1095760483796;75,0698773003312;9831045;6309171;11692155;10701329;7310882;4162072;414987,945812808;0;1,58222596263557;1,49921226033019;0,845356102500932;0,80848887546505;-881048;-786101;17,305313413579;26,0692764304682;0;0;84628937;68813058;12277756;12395747;-57985;-27970;11030143;11293842;-3165746;-2617252;-4105392;-3466107;127427;404066
751779422;SYNUTRA FRANCE INTERNATIONAL;1051D;1 RUE VICTOR SEGALEN;29270;De 250 à 499 salariés;75177942200037;14/05/2012;203095429;176214346;11951604;4506739;41308332;2656402;0;0;634652;7677180;80599856;18037704;284123313;194352160;100000000;100000000;-27259946;-798235;-51769699;-9909577;20970354;89292187;0;0;0;3720000;72616060;89568771;127130328;10939281;5129261;830853;0;0;0;0;263152959;101339973;0;0;0;0;10000000;0;0;0;284123313;194352160;49112826;206140;155615297;0;11822246;2231829;3418304;1606076;23,3605324126174;6649,84854548689;194,273657435458;596,565656805616;49,4199544484599;-330,060388914689;-100571694;-1410678;-99609126;6266502;-142350882;-4685285;0;0;0,443837239542231;1,4798402066331;0,298523946603558;1,34568415358092;-31583830;-5168363;7,34548804870511;45,891991630039;5590656;0;154129890;9131770;-48156676;6144763;-67047735;2867419;16391895;3030467;-38142684;1952487;-41559287;356185;1702;9773
806720371;GROUPE LECOQ;4661Z;1 RUE DE LA PAIX;28150;De 100 à 199 salariés;80672037100079;01/01/1967;9732977;10915676;6259612;8500249;951094;1739249;0;0;42139;13637;24454692;28647646;34187668;39563322;2400000;2400000;0;0;-414157;1209642;17674292;19670659;0;0;834695;1641052;6324345;6114952;5977230;7857986;1454720;1484512;0;0;206513;3608;15678682;18251611;0;0;0;0;548458;920999;5091241;0;34187668;39563322;0;70616229;0;0;5446708;5662851;211291;784053;37,8542085534229;36,613288533906;42,1990716675588;38,9347207556025;117,642585174559;90,5268753765181;15606675;17418349;15648813;17431987;14577062;15147244;302995,915662651;405840,402298851;1,76541922249461;2,50731815127881;0,569190874384962;0,978696051472465;-1347091;1832940;51,6978578357553;49,7194320537593;6401401;9589690;3325220;4105052;6570107;10271529;-1324726;1994037;7524158;7831072;-514535;1512640;-691619;1292405;34208;563819
807856596;GROUPE NICE MATIN;5813Z;214 BD DU MERCANTOUR;06200;De 500 à 999 salariés;80785659600018;14/11/2014;38201266;38634278;5215058;3627529;4859006;1898081;0;0;5059050;4001265;16696865;10514417;54898131;49148695;4848001;4000001;-11849868;-1884005;-1996623;-1660830;-1986287;6457695;0;0;7106151;14076999;2443815;1891379;6103561;4264208;13595112;12706226;0;0;2877748;3153156;49778266;28614001;0;0;0;0;978616;976896;0;1014920;54898131;49148695;81295766;24563247;0;6411731;32136139;12219681;179536;58068;19,5120507567393;35,6214525264016;48,5253786493766;80,5235095180586;5,49607830822664;7,5744713738865;-34718020;-19232569;-29658971;-15231309;-36585137;-18164428;0;104999,925423729;0,376859290060301;0,433798033386528;0,348063013903993;0,406512197020894;-3115391;-1901210;-3,61813228213543;13,139097589468;69490;3736;81121812;30920710;43457239;14841199;-1876079;-993390;44299999;15831991;-1851258;-65439;-1718632;-917442;428962;1986814
341816064;DESMAZIERES;4772A;40 RTE D'ENNETIERES;59175;De 500 à 999 salariés;34181606404273;16/06/1987;15990920;25481155;577153;871587;5173672;6566488;0;0;13316551;230518;42256963;48304423;58247883;73788282;3664603;3664603;-17588013;-361135;-12203369;-6075939;9255217;32774232;0;0;1654421;216342;17017956;18655062;11052444;10626939;16053742;7097298;0;0;763342;1692472;47338243;40797708;0;0;0;0;1764208;2054687;10297422;11910387;58247883;73788282;86783866;114431735;1096;2725;18786497;21140432;134558;411496;2,02282750706664;2,3166772507453;54,9653100446894;38,7227904212325;79,1106499139975;117,52901352495;384335;27985950;13700882;28216464;-3980348;22898476;0;0;1,10324352299204;1,58241951146758;0,538531778695478;0,292909822420541;-8465727;-3869111;15,889362021964;44,4165809416731;44675588;54233865;1617109;1788216;18405249;25165561;-7406845;-4173529;23839042;26691341;-12457492;-6932126;-12377735;-6805063;904498;740683
312346810;TRANSFIX;2711Z;12 PL DAUPHINE;75001;De 250 à 499 salariés;31234681000053;01/01/1978;17627945;19700398;10622300;21259602;12951602;11852720;30000;30000;3951439;3947525;37709596;48098366;55345000;67801454;5040000;5040000;2905576;12920102;-5576850;-6814373;6921199;15698202;0;0;162155;1379479;7203678;20052126;17408169;13675818;3695579;3556893;0;0;1108346;708856;48261646;50723773;0;0;3000000;3000000;7829757;664058;0;11754986;55345000;67801454;0;51910200;0;11303772;8401772;9048551;793749;488408;48,2452321272936;102,294821322624;95,1215755595159;76,9320619392423;46,3965902465153;53,0004463680407;3499946;17113252;7481385;21090776;-9276179;4886742;0;229868,989090909;1,25812712387231;1,23061575138031;0,947028154148379;0,986449813223249;-3740326;-3836213;12,5055542506098;23,1531937353438;1146191;1187268;53485446;51890227;9879082;10729077;-3031898;-3173101;12106758;13216937;-4298729;-773584;-5363747;-679806;486709;584876
803216258;SKTB ALUMINIUM;2442Z;1 RUE JEAN JOSEPH LABBE;54730;0 salarié à la fin de l'année;80321625800027;01/07/2014;3819182;3891842;1140350;1255258;948422;999190;0;0;111438;1962777;6973943;9360550;10793125;13252393;500000;235294;0;0;-6281146;1081172;-2799611;3750881;0;0;200980;183702;2177640;3548339;8379305;4346404;1983002;1104352;0;0;0;0;13391756;9317809;0;0;0;0;795385;293194;509153;0;10793125;13252393;18740462;13144818;46494143;56975759;2910322;2995181;172578;343527;5,31706229129974;5,44501560820943;40,5918228523023;20,5022281637648;16,9954359985096;23,8492977425483;-3556224;1921500;-3444788;3884273;-4613517;818142;0;0;0,628216336889436;1,69027110226243;0,327239898820284;0,870565985296935;-4999731;-394387;-25,9388360646245;28,3034241438509;0;0;64186137;70778140;-78291;6516373;-4760013;1726786;4285944;4500849;-5401875;1420061;-5573483;1107958;969;31424
570201244;GERVAIS MATERIAUX;4673A;287 AV DE BOIRARGUES;34000;De 100 à 199 salariés;57020124400235;01/01/1957;12048326;12638378;6445877;6178661;5661855;5941236;0;0;2678809;1577701;24484293;21396849;36532620;34035227;3311367;3311367;721890;0;1035930;-8574;5793518;3990509;0;0;17000;58320;637604;1806159;4465090;7400771;1366004;1489973;0;0;8495;11806;30722102;29986398;0;0;0;0;23169675;18354210;0;1806159;36532620;34035227;51704576;48630186;0;48886;3979618;3930141;39603;47415;37,9196789242278;38,6067902205148;30,5773069433655;53,2529459472946;67,7508209802446;56,2784622138963;14890659;9993119;17569470;11570819;8985673;3895984;342414,410596027;0;3,50510386848008;1,82416247797727;2,14529019030368;1,18135739267069;1471067;117715;15,8584793535202;11,724643411369;14386634;13820467;1619381;1303531;7634268;6744777;1735794;881335;5123887;5056814;1109875;233921;965305;56394;1134;1731
319416988;SOMASCO;4532Z;LOT MARENGO;97300;De 100 à 199 salariés;31941698800024;04/03/1980;3306079;2255817;5073215;6464094;2944516;2781722;0;300970;2382478;2297754;27301598;25030842;30607677;27286659;1800000;1800000;1723308;8306;2268908;1814309;6009189;3853017;0;0;153897;34739;0;2229878;10376043;7288316;3398189;3324754;0;0;11220;279359;24444591;23398903;0;0;0;0;3448029;0;0;0;30607677;27286659;58822260;0;0;0;4020518;3549846;165827;117683;26,2333153441118;40,8671597453633;64,2231516681901;51,4178326349013;108,827351319391;208,078415775859;3922558;1263093;6305036;3861816;819094;11399914;554926,981132075;0;1,29280704598476;1,18516136160339;0,495593972211651;-0,04650907295502;3363886;2264411;19,6329469890838;14,1205158169052;20666280;21970087;4721652;-366348;10401492;9232690;4164283;3698454;5589528;5092373;2711614;2978294;2546862;1990771;1075;260
