,siret
49047852,49920819700016
63201576,79886058100015
63661357,80104002300021
65119974,81002002400024
35394027,43313618100016
46503897,48940571200022
4995425,31779036800045
55489385,53113873300021
6567919,32391163600013
68866700,83292500200012
54748733,52791392500014
2695769,30575014300029
46478551,48932800500017
1545693,26300017600150
69405948,83822845000014
68775741,83237383100037
12381059,34342933800019
33766933,42910329400014
52709403,51575052900015
23856784,39953705900020
43501277,47881488200013
57967521,64870320500019
12540094,34386120900058
36484371,43758602700017
21765959,39280886100026
42505134,45323795000010
39013572,44327353700011
20983676,39100924800033
51420717,51013819100026
52235128,51348671200039
12974114,34501643000018
1217328,21840077800021
42084776,45223682100024
58859030,75106124300034
72303445,88496513800024
43949474,47989810800010
43413965,47860415000019
69968183,84191007800010
47629233,49283546700027
12242902,34308430700069
39445026,44424577300015
21034037,39112637200013
69800711,84079712000028
28900050,41351882000043
44611590,48175344000017
65415614,81146421300016
7744490,32796033200010
18751246,38394038400019
715355,21030064600036
25970365,40435575200027
31531860,42161319100020
72795741,89146242600018
1923453,30086094700013
57202144,54910261400019
5649613,32049750600065
4453198,31533219700021
29854968,41775300100037
68004648,82800940700028
44414013,48117177500010
13547360,34849268700028
27686147,41058576400013
42944958,47647127100017
27917863,41113658300068
45032720,48303117500027
51973721,51241666000011
60640941,78151894900016
14748622,35159541800077
59941793,77610417600016
72585171,88946971400014
68402902,83021054800012
60157254,77786532000017
31591729,42174521700032
61813589,79056081700021
54861614,52840206800019
22541228,39457085700026
66309813,81757808100017
73720004,90238308200010
15227953,35279149500299
26055110,40456600200022
24340967,40064139500027
19707763,38810203000011
55757885,53232187400010
23016607,39766841900013
5008998,31784670700030
38927099,44307451300013
72674788,89031406500024
52057482,51276069500019
71110784,85217390500013
73115643,89445310900015
58602617,74990817400024
56332038,53483348800016
73188602,89515500000014
49691520,50122028900018
71565921,87864766800010
5657989,32053117100454
29999986,41809639201214
15765505,35600000002842
1269218,21950268900116
2771026,30619432500016
45712149,48506638500017
17037328,38005613500011
71954877,88188026400018
46651831,48986400900019
25335803,40291247100040
47417727,49219389100024
6260258,32282883100014
65811216,81331512400012
48481392,49577057000010
9365077,33294529400012
22744756,39504246800011
2853002,30667406000042
69647969,83979205800027
72937494,89275833500012
10900506,33940371900018
2319718,30342007900020
43684241,47925441900019
44063204,48017776500017
19282929,38511180200059
37370388,43961136900034
14235081,35026767000031
54911174,52861558600013
28317840,41208456800010
44698779,48201386900037
63913248,80224313900028
59154490,75240789000017
53674147,52137448800026
58347249,70920104000017
28272070,41197800000015
5301706,31906007501126
23910774,39966130500025
61119144,78525765000016
37300572,43945515500010
56083187,53375310900016
